,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00128976,77,19,26,7,-,-,22,-,1,2,-,-,-,-,-
S00128977,55,10,27,5,1,2,6,2,-,1,1,-,-,-,-
S00128978,73,12,34,7,4,1,8,-,2,4,1,2,1,-,2
S00128979,81,14,29,9,4,2,14,3,2,2,2,3,-,1,1
S00128980,67,9,26,12,2,3,10,1,1,2,1,-,1,-,-
S00128981,60,13,24,6,2,1,7,2,3,1,1,-,-,-,1
S00128982,114,19,36,22,-,3,19,10,3,1,1,-,-,-,-
S00128983,74,16,32,7,1,2,9,2,1,3,1,-,1,-,-
S00128984,65,8,28,14,-,3,8,2,2,-,-,-,-,-,-
S00128985,92,14,46,8,1,1,12,2,3,3,2,-,-,-,1
S00128986,53,10,22,7,-,1,3,7,1,1,1,-,-,-,-
S00128987,94,16,49,8,2,5,9,2,-,2,1,-,2,-,-
S00128988,47,12,21,5,-,-,3,1,3,2,-,-,-,-,-
S00128989,117,22,52,10,4,1,18,1,4,4,1,2,-,2,2
S00128990,90,24,40,6,1,4,11,-,3,1,-,-,1,-,-
S00128991,116,14,57,14,-,2,19,3,2,4,1,-,-,-,-
S00128992,120,23,55,11,3,4,11,4,3,4,2,1,2,1,2
S00128993,77,17,26,11,1,3,10,-,2,5,2,-,-,-,1
S00128994,49,10,19,7,-,-,6,1,3,3,-,-,-,-,-
S00128995,110,17,46,17,3,2,13,2,6,3,1,1,-,1,2
S00128996,131,27,48,17,3,4,20,4,3,4,1,1,-,-,2
S00128997,43,11,19,1,1,1,5,-,2,3,-,-,1,-,1
S00128998,121,23,50,16,7,2,19,3,-,1,-,3,2,-,1
S00128999,93,8,53,8,2,-,8,4,4,5,1,1,-,-,-
S00129000,75,10,40,5,1,2,7,3,4,3,-,-,-,-,1
S00129001,49,7,20,6,-,-,8,1,2,4,1,-,-,-,-
S00129002,46,7,23,4,1,-,9,-,-,1,1,-,-,-,-
S00129003,106,14,33,17,3,4,25,3,5,2,-,1,1,-,1
S00129004,164,31,45,28,1,6,34,7,12,-,-,-,1,-,-
S00129005,120,20,47,16,2,1,13,6,7,2,6,-,1,-,1
S00129006,52,9,11,10,2,-,13,2,3,1,1,1,1,-,-
S00129007,124,22,44,25,2,1,17,3,6,4,-,1,-,-,1
S00129008,95,12,39,11,1,1,23,-,4,3,1,1,-,-,-
S00129009,102,14,46,7,-,-,26,4,3,-,2,-,-,-,-
S00129010,60,11,33,5,-,-,8,-,3,-,-,-,-,-,-
S00129011,85,22,38,3,2,-,11,2,2,3,2,-,1,-,1
S00129012,80,12,39,2,-,-,19,-,2,4,2,-,-,-,-
S00129013,141,28,45,17,1,2,36,1,4,2,5,1,-,1,-
S00129014,45,4,14,11,2,-,10,1,2,-,1,-,1,-,1
S00129015,64,11,27,9,3,1,12,-,-,1,-,1,1,-,-
S00129016,88,19,32,6,5,3,14,1,4,4,-,2,1,-,1
S00129017,63,7,23,7,2,1,13,4,3,2,1,1,1,-,1
S00129018,72,14,21,6,5,-,21,-,2,1,2,3,-,1,2
S00129019,51,8,21,3,2,-,13,2,-,1,1,-,1,-,-
S00129020,89,16,48,2,3,1,5,6,3,5,-,3,-,2,-
S00129021,52,6,29,3,-,2,6,3,2,1,-,-,-,-,-
S00129022,73,8,33,8,2,3,16,2,-,1,-,1,-,-,1
S00129023,97,12,59,8,1,-,16,1,-,-,-,-,-,-,1
S00129024,88,19,43,7,3,1,10,-,-,3,2,3,-,1,-
S00129025,77,11,48,1,1,1,6,3,5,-,1,-,-,-,-
S00129026,103,20,51,2,4,-,9,3,4,9,1,2,2,-,2
S00129027,68,8,31,7,5,3,7,1,-,6,-,2,1,-,2
S00129028,86,18,44,7,2,4,5,2,2,1,1,-,2,1,-
S00129029,62,10,23,3,4,2,12,2,1,3,2,-,3,-,4
S00129030,118,8,73,12,4,1,16,2,1,1,-,-,-,-,-
S00129031,64,13,31,4,1,-,7,5,3,-,-,-,1,-,-
S00129032,40,5,22,-,-,-,8,2,2,-,1,-,-,-,-
S00129033,103,28,47,7,1,2,9,2,1,4,2,1,-,1,-
S00129034,121,21,51,6,4,6,22,4,4,2,1,3,-,-,-
S00129035,59,8,29,4,1,3,11,1,-,1,1,-,-,-,1
S00129036,131,13,60,23,1,3,18,3,5,4,1,1,-,-,-
S00129037,86,21,43,4,-,-,11,2,4,1,-,-,-,-,-
S00129038,70,13,37,-,6,2,1,3,1,6,1,1,2,-,3
S00129039,76,8,35,5,4,3,9,3,5,3,1,-,-,-,1
S00129040,81,18,30,1,7,2,7,4,2,6,4,1,1,-,3
S00129041,101,14,49,5,1,3,17,4,2,5,1,1,-,-,-
S00129042,59,11,29,6,-,1,8,-,3,1,-,-,-,-,-
S00129043,116,20,62,1,2,7,14,2,3,3,2,-,-,-,1
S00129044,83,13,44,5,-,1,10,4,1,2,3,-,-,-,-
S00129045,125,28,53,7,1,2,25,4,2,3,-,-,-,-,1
S00129046,84,16,38,8,3,-,14,3,-,1,1,2,1,-,1
S00129047,60,8,25,4,1,1,16,2,2,1,-,-,-,-,-
S00129048,67,9,28,7,3,2,11,-,2,3,2,2,-,-,-
S00129049,70,7,41,4,4,1,5,2,1,4,1,-,1,-,1
S00129050,62,8,31,7,3,1,6,-,-,5,1,3,-,1,-
S00129051,80,9,36,2,-,1,14,2,3,11,2,-,-,-,-
S00129052,100,16,39,8,3,3,26,-,3,2,-,1,-,-,-
S00129053,52,5,37,4,-,2,1,1,-,1,1,-,-,-,-
S00129054,59,8,31,7,2,1,6,-,-,3,1,-,1,1,-
S00129055,66,13,32,4,3,2,7,1,1,1,2,-,-,1,1
S00129056,55,7,35,3,2,-,4,-,1,2,1,1,-,-,-
S00129057,51,4,35,5,-,2,3,1,1,-,-,-,-,-,-
S00129058,83,14,48,5,3,4,3,-,-,2,4,2,-,1,-
S00129059,47,7,29,-,2,-,4,-,1,2,2,-,-,-,1
S00129060,64,9,45,2,-,-,4,-,1,2,1,-,-,-,-
S00129061,67,11,38,3,2,1,8,-,2,-,2,2,-,-,1
S00129062,134,21,68,10,2,6,17,2,2,5,1,1,1,-,-
S00129063,82,7,52,4,1,3,6,1,3,3,2,-,-,-,1
S00129064,54,11,26,2,-,-,8,1,1,3,2,-,-,-,-
S00129065,55,10,32,1,-,2,3,2,-,2,3,-,-,-,-
S00129066,80,10,55,7,1,-,3,1,1,1,1,1,-,-,-
S00129067,86,15,43,3,2,1,14,1,2,5,-,2,-,-,-
S00129068,66,8,36,2,-,-,8,-,3,6,3,-,-,-,-
S00129069,103,17,49,8,4,4,11,4,2,4,-,2,-,-,1
S00129070,126,20,66,10,6,3,11,2,2,6,-,3,-,-,1
S00129071,70,16,31,2,2,1,8,4,1,4,1,-,1,-,-
S00129072,74,16,36,5,2,2,11,-,-,1,1,-,1,-,2
S00129073,86,18,44,2,1,1,12,-,3,4,1,1,-,-,1
S00129074,57,10,27,2,1,2,4,6,2,2,1,-,-,-,1
S00129075,124,17,75,7,1,7,9,2,4,1,1,-,-,-,1
S00129076,84,15,48,2,3,6,2,4,1,3,-,-,2,-,2
S00129077,36,7,13,3,3,-,3,2,3,2,-,1,1,-,2
S00129078,104,16,63,9,-,1,11,-,1,3,-,-,-,-,-
S00129079,77,10,41,4,1,2,19,-,-,-,-,1,-,-,-
S00129080,52,10,28,4,2,2,2,1,1,1,1,1,-,-,1
S00129081,60,10,32,5,-,1,6,3,2,1,-,-,-,-,-
S00129082,55,6,31,3,1,1,6,1,1,1,4,-,-,-,-
S00129083,63,11,31,1,11,-,1,-,-,5,3,5,2,-,5
S00129084,64,15,29,4,-,3,5,2,1,5,-,-,-,-,-
S00129085,107,27,49,9,-,1,19,-,-,2,-,-,-,-,-
S00129086,61,14,29,2,2,1,3,2,3,2,3,1,-,-,2
S00129087,85,16,45,7,1,2,3,1,2,4,4,1,-,-,1
S00129088,61,11,35,2,4,-,6,-,1,2,-,-,-,-,3
S00129089,113,16,60,14,1,3,11,2,1,4,1,-,-,-,1
S00129090,107,22,44,20,1,2,9,1,5,3,-,-,-,-,-
S00129091,114,20,55,12,-,-,21,-,1,5,-,-,-,-,-
S00129092,47,14,13,6,2,-,5,3,-,4,-,-,1,-,1
S00129093,46,11,17,5,-,-,10,2,-,1,-,-,-,-,-
S00129094,58,13,14,15,-,-,11,2,1,1,1,-,-,-,-
S00129095,62,17,20,8,3,-,7,2,-,4,1,-,1,-,2
S00129096,106,18,51,13,1,4,9,-,3,4,3,1,-,1,-
S00129097,49,14,20,9,1,-,3,-,2,-,-,-,-,-,-
S00129098,52,13,30,2,1,1,-,1,1,3,-,-,-,-,-
S00129099,76,19,40,5,2,3,2,3,1,1,-,-,-,-,1
S00129100,145,24,73,8,1,6,20,5,1,5,2,-,1,-,1
S00129101,99,21,42,11,3,2,17,2,1,-,-,1,-,-,-
S00129102,66,5,42,3,1,3,9,1,1,-,1,1,-,1,-
S00129103,121,25,47,16,-,-,29,1,-,1,2,-,-,-,-
S00129104,131,28,68,8,4,5,3,3,3,5,4,1,1,-,3
S00129105,69,12,24,7,-,-,20,4,2,-,-,-,-,-,-
S00129106,48,7,32,2,2,-,2,-,2,1,-,1,-,-,-
S00129107,177,39,76,16,4,-,22,11,4,4,1,2,1,-,1
S00129108,47,11,25,2,-,-,4,1,2,-,2,-,-,-,-
S00129109,107,17,54,9,-,2,13,4,-,6,2,-,-,-,-
S00129110,42,10,23,1,-,-,5,2,-,-,1,-,-,-,-
S00129111,133,26,45,17,3,4,26,8,1,1,2,-,2,-,2
S00129112,72,11,40,8,1,1,7,-,2,1,1,-,-,-,-
S00129113,151,31,80,11,1,2,11,5,5,2,3,-,1,-,1
S00129114,112,15,61,15,3,3,8,4,2,1,-,-,2,-,2
S00129115,87,17,44,9,-,4,8,2,2,1,-,-,-,-,-
S00129116,88,17,43,5,2,2,10,3,3,3,-,-,2,-,-
S00129117,48,6,23,1,1,1,5,3,2,6,-,-,1,-,-
S00129118,121,20,75,4,3,1,9,4,1,2,2,1,-,1,1
S00129119,76,15,37,1,5,-,2,4,5,6,1,1,1,-,2
S00129120,62,15,22,8,1,1,10,1,2,1,1,-,1,-,-
S00129121,121,18,49,22,-,1,17,4,5,3,2,-,-,-,-
S00129122,107,15,59,6,2,4,11,6,1,3,-,1,1,-,1
S00129123,76,13,35,2,3,1,15,3,1,3,-,1,1,-,1
S00129124,72,10,33,9,2,2,13,2,-,1,-,1,-,-,-
S00129125,114,17,46,12,1,1,29,1,2,3,2,-,-,-,1
S00129126,41,8,17,4,-,-,8,1,-,3,-,-,-,-,-
S00129127,92,17,45,4,3,-,14,1,3,3,2,1,1,1,1
S00129128,54,13,28,2,1,-,3,-,-,6,1,-,-,-,1
S00129129,86,14,42,14,1,1,11,1,1,-,1,1,-,-,-
S00129130,45,9,25,-,-,1,5,1,1,3,-,-,-,-,-
S00129131,113,30,49,5,5,2,15,2,1,3,1,3,-,-,-
S00129132,89,9,48,16,-,6,8,2,-,-,-,-,-,-,-
S00129133,53,10,29,2,2,1,2,1,-,4,2,-,1,-,2
S00129134,72,14,22,2,2,-,24,-,-,8,-,1,-,1,1
S00129135,114,16,64,10,7,1,6,-,1,5,4,3,1,-,3
S00129136,72,16,37,3,-,-,11,1,2,2,-,-,-,-,-
S00129137,75,13,35,6,3,1,8,1,1,2,5,1,1,-,1
S00129138,67,11,28,2,1,2,18,2,-,2,1,-,-,-,-
S00129139,63,14,34,3,2,-,3,-,-,6,1,1,1,-,-
S00129140,79,11,49,1,3,3,7,2,-,1,2,-,1,-,3
S00129141,214,42,101,31,2,2,21,7,7,1,-,2,-,1,-
S00129142,89,16,39,10,-,2,14,1,3,2,2,-,-,-,-
S00129143,101,5,17,4,1,-,13,1,2,56,2,-,-,-,-
S00129144,97,12,36,19,2,2,16,3,7,-,-,-,-,-,1
S00129145,52,5,16,7,5,1,5,5,4,2,2,-,1,-,2
S00129146,120,16,35,31,3,-,18,6,5,5,1,1,1,1,-
S00129147,122,12,35,40,7,2,15,4,3,2,2,2,-,2,1
S00129148,99,12,23,23,-,6,18,6,4,4,3,-,-,-,-
S00129149,91,8,34,23,1,2,13,2,2,2,4,-,-,-,1
S00129150,46,4,11,13,-,1,10,2,3,1,1,-,-,-,-
S00129151,84,11,16,21,3,2,24,3,-,3,1,-,3,-,1
S00129152,116,20,41,10,3,4,22,7,4,5,-,1,1,-,1
S00129153,92,7,29,5,6,1,33,4,1,6,-,1,1,1,3
S00129154,77,13,40,6,4,1,1,4,2,5,1,-,-,-,2
S00129155,140,9,40,2,8,2,19,5,3,38,14,2,1,1,5
S00129156,79,5,24,13,1,1,22,4,4,5,-,1,-,1,-
S00129157,127,9,52,14,4,3,19,9,7,8,2,1,-,1,-
S00129158,147,16,59,25,6,2,20,8,10,1,-,2,1,1,3
S00129159,91,11,35,4,2,4,27,2,2,2,2,-,2,-,1
S00129160,103,13,30,9,6,1,24,5,6,6,3,-,2,-,3
S00129161,54,5,13,3,3,-,28,-,-,2,-,1,-,-,1
S00129162,75,13,30,11,1,3,8,2,5,1,1,-,-,-,1
S00129163,87,8,32,19,3,2,15,1,3,1,3,-,-,-,1
S00129164,97,14,36,15,5,2,11,4,3,5,2,-,1,-,2
S00129165,65,8,20,16,2,2,9,-,4,1,3,1,-,1,-
S00129166,88,1,31,12,8,5,19,7,-,3,2,2,3,-,2
S00129167,50,10,25,3,1,-,9,-,-,2,-,-,-,-,1
S00129168,48,8,18,6,2,3,9,1,-,1,-,1,1,-,-
S00129169,91,11,31,14,3,8,9,6,3,4,2,1,2,1,1
S00129170,123,20,56,15,4,9,2,8,5,2,2,-,-,-,2
S00129171,46,12,11,7,1,3,9,2,-,-,1,-,-,-,-
S00129172,109,12,22,20,-,5,30,6,6,6,2,-,-,-,-
S00129173,60,12,22,6,1,3,11,1,2,1,1,-,-,-,1
S00129174,155,23,89,16,5,3,5,7,6,-,1,1,1,-,4
S00129175,94,16,42,12,2,4,13,1,2,2,-,-,1,-,1
S00129176,110,10,28,21,6,1,31,5,4,2,2,-,2,-,3
S00129177,72,10,20,17,1,-,12,3,2,7,-,1,-,1,-
S00129178,95,11,27,16,2,2,15,5,1,13,3,-,-,1,1
S00129179,54,7,19,5,-,-,14,2,-,6,1,-,-,-,-
S00129180,68,6,19,16,1,2,13,4,2,3,2,1,-,-,1
S00129181,73,13,21,17,-,-,13,3,1,5,-,-,-,-,-
S00129182,105,17,40,22,3,4,18,-,-,-,1,-,2,-,2
S00129183,41,10,12,8,1,3,4,2,-,1,-,-,1,-,1
S00129184,112,19,30,26,3,2,22,2,3,2,3,1,1,-,1
S00129185,74,16,26,5,5,3,10,2,3,3,1,3,1,-,-
S00129186,83,7,25,11,4,3,21,5,1,4,2,-,-,-,1
S00129187,81,8,20,15,3,1,18,5,7,4,-,-,1,1,2
S00129188,118,20,58,5,6,5,14,4,3,3,-,2,2,-,1
S00129189,61,9,10,22,-,1,13,1,3,2,-,-,-,-,-
S00129190,66,16,29,5,2,1,6,2,1,4,-,-,2,-,-
S00129191,107,18,33,13,2,4,32,1,1,1,2,-,1,-,-
S00129192,55,6,21,3,2,3,12,2,3,2,1,1,-,-,-
S00129193,61,10,22,3,3,2,11,5,2,2,1,-,2,-,1
S00129194,106,17,44,16,-,4,17,4,3,-,1,-,-,-,-
S00129195,58,6,27,5,5,-,6,2,-,6,1,-,2,-,4
S00129196,108,12,50,7,3,2,22,5,3,3,1,1,2,-,1
S00129197,80,14,22,6,5,3,21,3,4,2,-,1,1,1,2
S00129198,66,4,29,8,-,2,19,-,-,2,2,-,-,-,-
S00129199,71,6,23,12,3,2,8,4,3,7,3,-,1,1,-
S00129200,83,6,36,13,-,2,15,3,2,4,2,-,-,-,-
S00129201,74,9,21,17,-,1,17,2,4,2,1,-,-,-,-
S00129202,63,15,16,12,-,1,19,-,-,-,-,-,-,-,-
S00129203,77,5,16,19,1,-,23,1,8,3,1,-,1,-,1
S00129204,129,17,30,32,3,4,25,9,5,2,2,1,2,-,1
S00129205,87,12,16,29,3,-,14,2,4,5,2,1,-,1,2
S00129206,81,3,19,24,4,-,18,3,7,2,1,-,-,-,2
S00129207,49,5,18,11,1,-,8,1,1,2,2,-,-,-,-
S00129208,107,17,31,22,5,4,16,2,3,5,2,2,-,1,2
S00129209,93,8,30,19,4,1,17,2,4,7,1,1,1,1,2
S00129210,88,8,21,13,3,-,35,1,2,3,2,-,-,-,1
S00129211,80,15,23,5,5,1,17,1,5,6,2,2,1,-,3
S00129212,70,7,28,3,1,2,19,2,3,3,2,-,1,-,1
S00129213,105,15,32,17,5,4,20,3,2,7,-,1,2,-,3
S00129214,65,17,15,4,4,1,13,1,4,4,2,2,1,1,1
S00129215,63,7,20,13,1,-,19,1,1,1,-,1,-,-,-
S00129216,67,9,10,4,1,1,21,1,1,15,4,1,-,-,-
S00129217,75,11,39,2,1,1,15,4,1,-,1,-,-,-,1
S00129218,58,11,14,4,2,1,16,1,2,6,1,1,1,-,-
S00129219,50,5,18,2,-,3,8,2,2,9,1,-,-,-,-
S00129220,80,15,32,7,4,1,14,-,2,5,-,1,1,-,2
S00129221,60,13,16,2,2,1,17,2,-,6,1,-,1,-,1
S00129222,95,5,33,3,3,4,39,4,2,-,2,2,-,1,-
S00129223,104,12,23,12,7,1,30,4,-,13,2,1,4,-,4
S00129224,89,13,23,12,7,1,18,1,3,6,5,4,1,2,-
S00129225,127,16,42,21,6,6,28,2,2,2,2,2,2,-,4
S00129226,62,9,27,7,1,-,13,3,1,-,1,1,-,-,-
S00129227,68,15,23,4,2,2,12,1,2,6,1,-,1,-,1
S00129228,55,11,22,4,3,-,9,1,2,3,-,1,-,-,2
S00129229,52,6,25,1,3,1,8,2,1,4,1,1,-,-,-
S00129230,78,12,24,3,7,-,15,3,5,8,1,-,2,-,4
S00129231,84,9,26,12,3,4,24,1,-,5,-,-,-,-,1
S00129232,65,7,26,3,3,2,8,1,2,12,1,-,2,-,2
S00129233,61,3,21,6,1,-,21,3,1,3,2,-,1,-,-
S00129234,87,13,27,5,1,1,22,4,7,6,1,1,-,-,-
S00129235,116,16,31,4,7,3,26,4,6,18,1,2,3,3,2
S00129236,102,30,34,4,4,1,19,-,5,4,1,-,-,-,3
S00129237,79,14,28,2,4,-,18,3,7,2,1,-,1,-,-
S00129238,95,18,39,3,5,1,22,2,1,3,1,2,2,-,2
S00129239,77,23,19,1,5,1,15,5,3,3,2,1,-,1,1
S00129240,126,20,39,5,6,4,15,9,10,15,3,1,-,-,2
S00129241,126,24,46,5,3,6,22,9,5,5,1,-,1,-,1
S00129242,119,20,33,5,10,2,19,3,10,12,5,5,1,2,2
S00129243,105,21,24,-,8,-,27,5,8,12,-,2,1,-,3
S00129244,58,7,9,4,10,-,9,4,3,9,3,4,1,1,5
S00129245,63,6,15,1,18,-,2,5,6,7,3,4,2,2,8
S00129246,54,13,10,4,4,2,8,1,5,6,1,1,-,1,1
S00129247,80,10,16,-,10,3,22,3,4,9,3,1,3,-,5
S00129248,72,18,29,5,7,2,7,-,1,3,-,2,1,1,2
S00129249,127,28,46,11,5,2,22,7,1,4,1,4,1,2,1
S00129250,96,24,33,4,5,4,16,-,6,4,-,1,2,-,5
S00129251,90,14,27,1,11,4,17,4,4,8,-,2,2,1,7
S00129252,101,19,30,7,2,2,17,8,5,11,-,-,-,-,1
S00129253,96,23,38,8,10,1,8,2,4,2,-,4,2,1,5
S00129254,67,13,28,3,1,1,7,3,1,9,1,-,1,-,1
S00129255,63,12,19,4,3,-,16,2,4,3,-,1,-,-,1
S00129256,93,15,22,4,5,3,14,8,6,13,3,1,-,1,2
S00129257,64,9,20,1,5,-,15,2,5,6,1,2,1,-,2
S00129258,64,7,16,2,4,2,15,5,3,8,2,1,1,-,1
S00129259,60,6,15,3,4,1,23,1,1,6,-,1,1,-,1
S00129260,36,5,9,1,1,-,12,2,2,4,-,-,-,-,1
S00129261,91,12,20,5,-,-,17,4,11,18,4,-,-,-,-
S00129262,95,14,31,6,4,4,15,3,8,10,-,1,1,1,1
S00129263,132,26,58,3,12,5,15,1,6,3,3,2,2,3,6
S00129264,90,12,24,2,6,-,24,6,4,11,1,1,1,1,1
S00129265,123,24,44,4,6,2,16,12,7,7,1,2,1,2,3
S00129266,78,10,23,5,8,5,7,4,3,9,4,3,-,2,5
S00129267,123,20,53,5,8,5,15,8,4,5,-,4,3,-,3
S00129268,68,12,18,2,7,-,14,2,6,6,1,1,1,1,3
S00129269,102,17,24,5,14,-,16,4,8,14,-,2,3,2,4
S00129270,106,25,33,5,8,5,11,8,4,4,3,1,-,-,2
S00129271,51,7,21,3,5,1,7,1,2,3,1,1,1,1,3
S00129272,72,14,27,1,4,3,11,2,4,6,-,1,2,-,2
S00129273,48,2,15,6,5,-,13,2,2,2,1,3,1,2,3
S00129274,75,12,32,5,3,4,13,2,2,2,-,1,-,-,2
S00129275,76,7,28,11,5,-,17,2,3,3,-,-,1,-,2
S00129276,68,10,23,7,7,-,9,2,2,5,3,1,2,1,6
S00129277,47,5,27,3,2,1,6,-,1,-,2,-,-,-,-
S00129278,43,4,22,2,2,1,7,1,1,2,1,-,-,1,1
S00129279,66,8,22,6,6,3,8,1,1,8,3,2,1,1,4
S00129280,96,13,26,6,11,3,10,4,4,16,3,5,1,1,7
S00129281,51,15,18,2,6,-,4,3,-,2,1,3,2,-,3
S00129282,100,19,40,3,5,4,14,5,5,4,1,2,-,-,3
S00129283,84,13,31,6,3,3,5,5,9,7,2,2,-,1,1
S00129284,65,8,23,3,5,1,9,1,5,8,2,2,2,2,3
S00129285,80,11,30,5,3,6,16,1,6,2,-,3,-,2,-
S00129286,95,11,34,14,7,1,10,4,5,5,4,2,-,-,3
S00129287,47,5,15,-,-,1,9,3,5,8,1,-,-,-,-
S00129288,60,5,27,4,6,1,12,1,1,3,-,3,-,1,2
S00129289,115,12,50,5,5,5,27,-,6,3,2,1,-,1,2
S00129290,111,19,37,7,6,3,29,4,-,6,-,2,1,1,1
S00129291,81,16,28,5,6,-,16,-,-,5,5,3,1,1,-
S00129292,85,8,22,6,-,2,35,5,6,1,-,-,-,-,-
S00129293,71,12,19,-,9,4,6,7,2,6,6,1,3,-,5
S00129294,70,10,17,5,8,3,8,1,8,8,2,3,-,-,3
S00129295,150,18,42,3,22,2,21,6,14,16,6,8,3,2,10
S00129296,129,18,58,8,2,6,18,8,2,7,2,1,-,-,-
S00129297,49,5,20,1,5,2,8,-,2,4,2,1,2,-,1
S00129298,86,10,27,6,-,2,21,5,6,8,1,-,-,-,-
S00129299,76,7,32,9,4,3,14,2,2,-,3,-,1,-,1
S00129300,83,14,23,12,-,2,22,5,3,1,1,-,-,-,-
S00129301,122,5,36,21,6,4,19,4,3,17,7,2,2,-,3
S00129302,129,8,42,12,22,2,21,5,4,5,8,13,2,6,8
S00129303,110,18,40,4,4,9,5,10,5,8,7,-,-,-,-
S00129304,52,4,15,4,6,6,5,2,1,6,3,-,3,1,2
S00129305,57,10,23,2,7,5,2,1,1,1,5,2,1,-,2
S00129306,66,11,20,7,9,4,4,3,3,5,-,6,1,1,5
S00129307,81,7,35,3,8,9,7,-,3,6,3,-,1,-,5
S00129308,45,5,13,2,2,-,20,2,-,-,1,1,-,-,1
S00129309,88,16,19,5,7,1,11,2,5,19,3,2,1,-,6
S00129310,62,7,24,2,5,3,11,3,-,5,2,2,1,1,1
S00129311,83,8,22,1,6,1,24,1,4,14,2,-,2,1,3
S00129312,52,2,22,1,6,5,4,3,4,5,-,2,1,-,-
S00129313,47,9,13,-,2,3,3,3,1,11,2,1,1,-,2
S00129314,97,8,37,1,17,7,1,6,1,14,5,6,1,2,7
S00129315,63,10,23,5,-,1,23,-,-,-,1,-,-,-,-
S00129316,133,14,40,23,2,3,27,8,7,6,3,2,-,1,-
S00129317,126,19,40,15,2,2,33,5,3,2,5,1,-,-,1
S00129318,80,6,22,11,-,1,36,2,-,1,1,-,-,-,-
S00129319,69,16,21,12,3,2,10,3,1,-,1,-,2,-,1
S00129320,65,10,20,7,1,3,17,3,3,1,-,-,1,-,-
S00129321,88,7,45,7,3,1,12,3,3,5,2,1,-,-,1
S00129322,65,4,17,2,3,1,31,1,1,3,2,-,2,-,2
S00129323,95,15,25,16,-,-,25,7,6,1,-,-,-,-,-
S00129324,69,13,29,6,2,2,11,1,2,2,1,-,2,-,1
S00129325,115,13,37,24,2,2,28,3,4,-,2,1,-,1,-
S00129326,40,3,10,2,1,-,15,1,4,4,-,1,-,-,-
S00129327,73,12,21,10,5,1,15,4,4,-,1,-,3,-,1
S00129328,84,10,26,13,3,3,18,4,6,1,-,1,1,-,1
S00129329,72,9,25,13,1,1,14,2,6,-,1,-,1,-,-
S00129330,84,6,24,9,2,1,31,6,2,1,2,2,-,1,-
S00129331,51,8,17,7,-,1,11,3,3,-,1,-,-,-,-
S00129332,45,6,12,4,1,1,20,-,-,1,-,-,1,-,-
S00129333,69,7,27,7,6,-,13,2,4,2,1,-,2,1,2
S00129334,71,12,24,6,2,3,18,3,2,1,-,-,-,-,1
S00129335,111,12,42,13,3,2,30,3,2,1,3,-,-,-,2
S00129336,68,8,26,12,2,6,10,1,1,2,-,-,-,-,2
S00129337,104,17,32,17,1,2,25,3,3,1,3,1,-,-,-
S00129338,95,10,37,7,2,-,25,2,4,7,1,1,-,-,-
S00129339,84,11,35,11,2,3,12,6,3,1,-,-,1,-,-
S00129340,74,7,23,15,1,-,25,2,1,-,-,-,-,-,-
S00129341,58,3,21,3,3,2,17,4,3,1,1,1,2,-,2
S00129342,140,27,65,6,5,3,15,7,6,6,-,1,1,-,3
S00129343,67,11,30,2,2,2,14,3,-,1,2,-,-,-,2
S00129344,71,7,27,6,2,-,20,4,1,3,1,-,-,-,2
S00129345,91,17,33,10,1,4,12,6,5,2,1,1,-,-,-
S00129346,78,12,34,6,1,4,13,3,3,2,-,-,-,-,-
S00129347,101,10,32,11,9,4,21,7,3,3,1,3,4,1,2
S00129348,75,7,25,5,-,-,22,3,4,6,3,-,-,-,-
S00129349,87,10,19,14,6,1,21,6,5,2,3,4,1,2,-
S00129350,96,13,39,2,3,6,19,2,6,6,-,1,2,-,1
S00129351,84,9,22,12,4,4,25,6,1,-,1,1,1,-,-
S00129352,75,14,27,9,4,-,14,2,1,3,1,1,1,-,2
S00129353,68,6,23,9,1,1,20,3,2,2,1,-,1,-,1
S00129354,65,11,14,11,-,2,19,3,2,2,1,-,-,-,-
S00129355,151,21,64,9,8,4,14,9,6,11,5,2,3,2,5
S00129356,113,17,41,4,6,1,20,8,3,7,6,-,3,-,4
S00129357,148,25,47,7,16,9,17,5,5,13,4,5,1,1,7
S00129358,114,23,42,7,10,6,13,5,1,5,2,1,3,-,4
S00129359,104,17,41,4,7,1,25,5,2,1,1,1,2,-,4
S00129360,86,7,35,6,3,-,17,7,2,7,2,-,-,-,-
S00129361,78,17,28,2,2,-,12,5,4,8,-,2,-,-,-
S00129362,98,9,19,5,8,1,30,7,5,10,4,2,1,-,4
S00129363,85,11,25,9,10,4,9,1,6,9,1,2,4,-,7
S00129364,124,20,48,8,12,1,14,5,4,6,6,7,1,4,5
S00129365,112,19,41,8,9,6,9,3,5,12,-,5,1,1,3
S00129366,102,21,33,2,10,4,6,7,8,6,5,2,1,1,3
S00129367,66,12,24,3,5,1,11,1,3,3,3,1,2,-,3
S00129368,108,13,47,3,13,2,12,4,4,7,3,2,3,1,4
