,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00130994,137,11,3,1,10,1,2,3,6,12,34,28,5,18,2,1,-,38.4,40
S00130995,195,6,10,4,18,5,6,6,10,10,40,53,14,11,2,-,-,36.8,41
S00130996,116,11,6,1,10,1,4,4,6,6,31,23,5,7,-,-,1,33.2,33
S00130997,119,3,4,3,11,1,1,2,3,7,19,26,7,21,7,4,-,45.0,48
S00130998,167,21,6,4,8,1,2,7,6,10,59,36,3,3,-,1,-,31.2,33
S00130999,173,9,12,12,19,-,9,4,8,8,56,30,2,4,-,-,-,29.6,34
S00131000,98,2,1,1,2,-,2,1,3,7,8,25,8,19,13,5,1,54.5,58
S00131001,208,13,11,3,14,5,8,9,18,16,46,35,7,15,4,3,1,34.2,33
S00131002,189,15,7,7,19,3,6,7,7,8,45,38,6,10,7,1,3,34.9,36
S00131003,130,13,5,3,10,1,3,4,11,8,29,22,10,6,4,1,-,34.0,32
S00131004,136,9,5,7,11,4,6,4,9,7,28,23,13,7,3,-,-,33.7,35
S00131005,141,9,6,6,13,2,6,6,8,4,28,30,8,8,5,2,-,35.3,35
S00131006,172,8,6,6,13,3,3,1,13,6,36,39,11,15,10,2,-,40.2,42
S00131007,123,10,2,2,6,-,-,2,11,8,20,24,12,14,8,4,-,43.4,46
S00131008,89,2,2,1,-,1,-,2,4,6,10,19,20,15,6,1,-,50.9,59
S00131009,103,6,5,4,5,-,2,1,7,3,23,16,14,11,5,-,1,40.4,41
S00131010,93,4,2,2,3,1,-,3,7,10,21,20,-,12,7,1,-,42.2,42
S00131011,127,9,1,3,8,4,6,5,12,9,17,31,8,9,5,-,-,36.7,37
S00131012,106,5,4,4,11,-,5,1,6,4,22,25,2,14,2,1,-,38.2,40
S00131013,118,9,8,2,5,-,1,-,4,6,36,17,8,10,7,2,3,40.8,39
S00131014,125,15,5,3,10,4,6,4,10,12,20,16,6,8,4,2,-,32.0,26
S00131015,101,13,1,-,1,1,1,2,8,4,17,20,9,8,12,3,1,44.4,50
S00131016,138,7,1,1,3,1,1,2,6,11,27,17,7,13,14,13,14,53.6,53
S00131017,110,2,2,3,6,1,1,2,4,5,19,20,20,13,9,2,1,48.0,53
S00131018,66,7,2,-,3,-,2,1,2,4,15,13,4,9,3,1,-,40.4,43
S00131019,93,2,2,3,9,-,1,5,3,7,22,21,6,6,4,1,1,39.8,39
S00131020,126,6,1,2,8,-,4,7,5,2,25,44,7,7,7,1,-,42.3,46
S00131021,123,11,4,4,2,1,5,1,5,10,25,35,10,5,5,-,-,38.9,42
S00131022,93,7,3,2,6,1,-,2,10,10,13,22,8,4,5,-,-,37.2,35
S00131023,168,16,10,9,10,3,6,11,14,20,36,24,4,1,4,-,-,27.9,26
S00131024,84,-,-,-,2,2,1,1,6,1,6,25,6,19,11,2,2,56.3,59
S00131025,116,6,5,7,7,1,2,5,7,4,23,34,7,8,-,-,-,35.7,39
S00131026,81,1,-,3,3,-,3,2,2,2,11,20,4,15,15,-,-,51.1,50
S00131027,112,7,6,2,4,1,5,3,2,3,25,25,11,10,5,3,-,42.6,44
S00131028,116,3,2,3,8,2,4,2,8,5,27,31,3,11,6,-,1,40.8,42
S00131029,149,6,2,2,6,2,4,6,5,2,17,43,15,21,16,2,-,48.4,52
S00131030,119,10,8,2,11,-,3,1,2,6,31,28,3,6,8,-,-,36.0,38
S00131031,154,9,3,4,13,4,8,2,9,9,36,29,10,13,5,-,-,36.6,38
S00131032,140,2,3,2,11,4,1,3,7,8,28,36,3,18,11,3,-,44.0,46
S00131033,108,3,3,4,7,2,-,1,3,3,25,19,4,19,9,4,2,46.9,49
S00131034,108,5,5,3,7,2,2,5,4,3,18,32,8,8,4,2,-,39.9,45
S00131035,115,3,4,2,9,2,2,4,5,5,26,20,5,16,10,1,1,42.9,42
S00131036,84,3,2,2,7,-,6,2,6,3,15,22,3,8,2,2,1,39.5,40
S00131037,85,5,1,1,5,3,-,3,6,5,16,15,7,10,5,3,-,42.9,44
S00131038,125,3,2,4,10,2,4,4,3,4,31,32,8,13,4,-,1,41.2,43
S00131039,100,6,4,5,11,1,1,1,4,8,21,16,1,16,3,2,-,37.8,38
S00131040,101,6,5,6,10,2,3,3,3,2,31,25,5,-,-,-,-,32.2,36
S00131041,164,12,9,4,11,3,3,3,16,18,31,30,9,6,8,1,-,34.6,36
S00131042,145,9,7,5,5,3,8,10,10,14,30,27,7,8,1,-,1,32.5,30
S00131043,142,6,3,4,8,2,4,7,18,8,32,31,8,6,3,1,1,36.0,37
S00131044,102,9,4,1,6,2,3,6,5,1,30,22,5,6,2,-,-,34.8,36
S00131045,113,3,3,1,10,2,3,6,6,2,22,42,5,5,2,-,1,39.5,44
S00131046,77,7,7,3,3,1,1,2,-,7,20,13,3,6,3,-,1,36.2,38
S00131047,136,-,2,3,6,1,1,1,3,5,17,44,17,18,13,3,2,52.1,56
S00131048,198,6,5,3,11,1,11,4,17,8,27,57,20,19,8,1,-,42.0,48
S00131049,92,5,1,-,5,-,-,1,6,4,17,27,6,14,5,1,-,46.0,49
S00131050,57,1,1,-,4,1,1,1,3,2,9,15,5,6,6,1,1,48.0,48
S00131051,160,7,3,3,4,3,1,1,7,5,17,48,20,28,12,1,-,48.9,54
S00131052,113,7,3,2,5,1,2,2,6,6,28,34,5,7,3,1,1,40.5,42
S00131053,121,7,3,-,5,2,4,3,8,6,16,31,12,18,5,1,-,43.6,46
S00131054,142,6,1,2,4,-,3,4,9,11,14,35,8,26,14,4,1,48.4,53
S00131055,50,3,1,4,2,2,1,1,2,3,14,13,2,1,1,-,-,35.2,39
S00131056,142,4,4,4,6,1,5,3,7,4,23,33,25,17,4,2,-,44.8,48
S00131057,95,5,3,2,10,-,1,1,4,6,19,24,5,9,5,1,-,40.0,42
S00131058,92,4,-,2,6,-,3,1,4,7,17,16,6,11,10,4,1,47.3,45
S00131059,110,11,5,4,7,1,2,1,9,8,26,13,6,9,5,3,-,35.7,34
S00131060,126,6,5,1,8,2,4,2,9,4,21,32,11,7,9,3,2,42.8,46
S00131061,72,5,1,-,-,-,-,1,4,3,13,19,7,13,6,-,-,48.8,54
S00131062,91,4,2,5,1,-,-,1,5,9,13,20,7,18,6,-,-,45.4,50
S00131063,94,2,-,2,7,1,3,2,7,5,16,26,5,8,8,1,1,43.6,47
S00131064,149,9,4,3,7,-,3,3,9,9,22,37,17,15,8,2,1,43.1,46
S00131065,90,1,-,1,2,1,1,-,7,5,17,27,9,8,9,1,1,48.4,48
S00131066,103,11,4,7,5,1,2,2,2,8,30,15,11,1,3,1,-,33.8,34
S00131067,136,6,6,2,12,1,5,2,5,5,32,25,7,22,6,-,-,40.8,42
S00131068,93,4,1,2,7,1,3,2,1,5,16,23,12,7,5,2,2,44.5,49
S00131069,65,3,3,2,4,-,2,1,3,4,10,11,11,8,2,1,-,42.3,47
S00131070,87,3,2,-,8,2,-,-,6,3,23,15,11,9,5,-,-,42.2,42
S00131071,207,16,10,10,15,5,8,6,10,23,41,35,11,12,5,-,-,32.7,30
S00131072,111,7,6,-,4,1,2,7,3,4,23,21,12,14,7,-,-,42.1,43
S00131073,105,6,6,5,6,3,3,2,12,9,17,23,6,5,2,-,-,32.9,30
S00131074,78,11,1,5,4,1,1,1,5,12,13,20,1,1,2,-,-,30.4,29
S00131075,83,1,2,2,6,3,3,2,6,2,11,21,14,5,2,3,-,42.8,45
S00131076,182,11,5,4,16,1,10,9,12,9,35,34,13,17,6,-,-,36.6,38
S00131077,59,3,4,2,3,2,2,2,1,4,11,12,2,7,3,1,-,38.4,40
S00131078,69,4,3,2,3,1,1,3,3,6,13,15,7,6,2,-,-,38.3,39
S00131079,148,8,2,2,11,-,7,11,9,7,27,38,12,10,4,-,-,38.2,40
S00131080,100,8,2,2,5,-,1,2,8,10,17,21,8,11,3,2,-,40.1,41
S00131081,93,6,3,3,9,-,2,3,5,4,23,9,10,11,3,2,-,37.7,37
S00131082,171,14,6,3,19,4,6,6,10,3,41,32,8,9,7,3,-,35.2,37
S00131083,166,13,3,7,12,-,3,8,10,8,42,29,10,18,1,2,-,36.5,37
S00131084,142,11,3,4,6,1,3,8,5,19,23,33,7,10,7,2,-,38.1,38
S00131085,148,9,2,3,13,1,3,6,5,10,32,37,10,10,4,2,1,39.4,42
S00131086,69,9,1,-,8,1,-,1,4,-,15,13,8,7,2,-,-,37.3,39
S00131087,84,1,2,-,2,1,5,5,7,8,10,12,7,13,7,3,1,45.6,45
S00131088,117,8,5,1,5,1,5,6,7,8,25,33,7,4,2,-,-,36.4,40
S00131089,161,7,3,1,6,2,5,9,14,11,25,50,12,12,4,-,-,39.6,44
S00131090,129,4,2,1,5,1,-,2,12,13,21,31,9,14,12,1,1,44.9,46
S00131091,116,6,5,1,7,1,3,3,7,7,20,28,8,9,9,2,-,41.4,42
S00131092,132,7,1,-,6,-,2,5,13,6,13,41,6,17,10,4,1,45.7,50
S00131093,102,4,4,2,3,-,4,2,8,5,25,21,6,9,8,1,-,41.6,42
S00131094,80,2,3,5,5,1,-,1,4,11,17,7,9,11,2,1,1,40.0,36
S00131095,142,6,-,1,9,1,5,6,6,4,28,33,11,14,14,1,3,45.9,46
S00131096,126,2,2,3,7,1,2,1,5,8,18,22,20,23,9,3,-,49.0,58
S00131097,140,6,3,2,5,5,2,6,9,8,34,33,12,10,5,-,-,39.8,41
S00131098,113,3,3,2,8,1,2,1,2,3,18,24,5,22,13,4,2,49.8,52
S00131099,145,10,9,6,7,2,-,6,9,7,47,17,3,9,12,-,1,36.2,36
S00131100,86,4,3,1,4,1,1,-,5,1,17,13,1,5,10,9,11,53.2,52
S00131101,100,4,2,1,1,-,2,1,3,7,16,16,11,19,13,2,2,51.9,58
S00131102,90,4,3,-,5,1,3,2,7,7,19,13,7,13,3,2,1,41.7,40
S00131103,87,6,1,-,3,2,3,5,8,3,11,25,3,12,5,-,-,40.5,45
S00131104,104,6,2,1,4,4,-,2,6,6,11,23,9,14,13,2,1,47.3,49
S00131105,88,12,3,2,4,1,1,1,5,8,18,14,3,8,8,-,-,36.4,35
S00131106,112,2,6,-,7,-,1,2,8,6,22,19,7,14,15,2,1,46.4,46
S00131107,94,4,-,-,3,-,-,3,7,4,13,28,7,7,15,2,1,50.0,53
S00131108,105,6,6,6,8,1,6,6,2,4,18,24,3,12,3,-,-,36.6,40
S00131109,113,12,8,7,7,-,-,-,12,11,19,18,3,10,4,1,1,33.1,29
S00131110,93,9,4,3,5,1,-,4,14,5,22,16,2,3,5,-,-,32.3,30
S00131111,67,7,-,2,2,1,3,1,3,7,5,7,8,15,4,1,1,44.7,49
S00131112,95,1,3,3,2,1,-,2,4,8,11,29,5,19,7,-,-,47.7,50
S00131113,109,-,1,4,8,2,2,3,4,7,22,27,9,7,9,4,-,44.7,45
S00131114,79,1,2,1,3,-,-,2,3,5,13,18,3,22,6,-,-,48.9,49
S00131115,100,4,3,3,3,-,-,5,10,5,20,28,4,9,6,-,-,41.0,43
S00131116,103,8,5,3,7,-,2,1,8,10,12,27,9,4,6,1,-,37.6,38
S00131117,59,2,1,4,4,1,3,1,1,1,11,21,1,8,-,-,-,40.5,45
S00131118,53,4,1,2,3,-,-,1,1,4,6,12,4,11,3,-,1,45.5,48
S00131119,91,-,1,1,2,-,-,-,7,4,7,21,11,25,11,1,-,55.1,61
S00131120,134,5,2,-,7,3,4,4,7,2,30,29,16,16,7,1,1,44.7,47
S00131121,69,1,1,2,2,2,-,-,2,1,15,9,7,18,6,3,-,51.7,59
S00131122,115,7,6,2,7,1,7,4,5,8,25,14,5,20,4,-,-,37.6,36
S00131123,95,6,5,2,7,1,2,2,2,4,19,19,6,12,4,1,3,41.9,44
S00131124,65,6,1,-,-,-,1,1,11,10,12,14,2,5,2,-,-,36.1,33
S00131125,89,4,2,2,6,2,5,3,4,7,16,17,2,15,4,-,-,39.9,39
S00131126,128,7,4,8,11,2,6,4,10,8,30,21,8,7,2,-,-,32.7,33
S00131127,80,6,9,-,2,-,2,2,5,4,15,16,7,5,7,-,-,39.2,41
S00131128,106,6,4,-,11,1,2,4,6,11,16,24,6,5,5,4,1,38.6,38
S00131129,92,5,5,1,5,-,1,2,8,7,15,21,5,4,12,1,-,41.5,44
S00131130,115,6,6,3,11,6,4,7,7,6,24,15,8,8,2,2,-,33.3,32
S00131131,95,7,2,-,5,1,2,3,8,4,20,24,7,8,3,-,1,39.3,42
S00131132,121,14,4,3,9,-,1,5,6,7,27,20,10,10,4,1,-,35.9,35
S00131133,129,6,5,2,10,1,5,5,11,4,29,24,6,14,6,1,-,38.7,39
S00131134,84,5,3,-,8,-,2,1,7,2,17,20,6,6,6,1,-,40.6,41
S00131135,124,11,9,4,6,-,2,-,8,15,32,16,9,8,4,-,-,34.0,31
S00131136,123,4,1,1,3,3,3,3,6,5,18,28,15,21,11,-,1,48.0,53
S00131137,125,7,2,5,6,2,1,5,8,3,26,23,10,15,12,-,-,42.4,43
S00131138,105,2,3,-,4,1,3,3,9,13,15,26,9,9,7,1,-,43.2,44
S00131139,123,7,2,3,8,1,2,3,14,1,21,32,9,16,4,-,-,40.4,44
S00131140,77,2,2,1,5,1,3,-,7,4,11,23,6,9,3,-,-,42.8,49
S00131141,142,2,3,-,8,2,7,4,5,4,26,26,22,22,9,1,1,46.4,49
S00131142,165,6,3,1,8,2,1,3,7,10,28,45,14,24,10,3,-,46.3,50
S00131143,84,-,1,1,5,1,5,3,3,4,13,23,5,14,6,-,-,45.9,48
S00131144,68,-,1,2,2,1,2,3,4,1,9,18,10,11,3,1,-,47.6,50
S00131145,134,4,2,-,6,-,8,2,4,1,26,27,17,27,7,2,1,48.8,51
S00131146,141,7,6,1,6,-,1,3,15,8,24,25,15,13,6,10,1,44.6,44
S00131147,111,6,7,2,5,-,3,1,7,5,15,33,9,9,8,-,1,41.8,47
S00131148,123,9,5,3,6,-,1,1,7,9,22,23,13,13,9,1,1,42.2,43
S00131149,113,-,5,1,9,-,2,2,8,5,16,29,8,19,9,-,-,45.5,48
S00131150,142,6,4,3,7,2,5,1,7,7,30,31,17,14,5,3,-,42.6,44
S00131151,154,14,6,4,8,-,3,4,11,11,27,42,10,7,5,2,-,36.8,37
S00131152,83,6,2,1,1,-,1,4,2,6,15,8,5,10,9,9,4,50.4,50
S00131153,82,3,3,1,7,-,6,-,3,5,13,25,4,4,6,2,-,40.9,45
S00131154,92,4,4,4,6,1,2,1,2,4,23,20,4,11,6,-,-,39.9,41
S00131155,95,1,1,3,10,-,-,1,4,7,14,20,10,16,7,1,-,45.5,46
S00131156,94,4,5,2,8,-,1,2,7,10,17,10,7,15,6,-,-,39.5,38
S00131157,100,4,2,1,5,1,1,2,4,6,11,27,8,16,12,-,-,48.1,52
S00131158,140,10,5,-,3,-,1,1,12,10,26,33,6,21,8,2,2,43.8,46
S00131159,131,2,1,1,3,-,3,1,9,13,17,41,8,20,10,2,-,48.5,52
S00131160,109,6,1,-,1,-,-,4,10,12,26,28,10,4,4,3,-,41.5,41
S00131161,139,9,6,2,6,-,2,2,10,4,27,38,9,12,9,3,-,42.3,45
S00131162,136,7,6,5,5,1,4,5,3,4,26,39,9,15,7,-,-,41.3,46
S00131163,110,2,2,2,5,-,5,3,4,4,15,26,13,18,11,-,-,48.3,54
S00131164,168,8,7,3,6,5,2,4,18,8,35,39,6,18,6,2,1,39.5,41
S00131165,138,2,1,2,4,2,4,5,2,8,16,36,21,24,8,1,2,49.7,54
S00131166,148,6,1,2,3,-,5,2,8,6,17,42,25,19,11,1,-,49.1,55
S00131167,163,6,4,2,7,2,8,6,8,5,30,48,12,15,6,2,2,42.5,46
S00131168,295,16,5,7,14,1,4,2,9,15,49,53,10,24,40,26,20,51.8,52
S00131169,120,13,3,3,7,1,2,4,9,9,20,30,3,9,7,-,-,36.8,38
S00131170,117,3,3,2,6,1,3,4,4,1,17,24,17,26,4,1,1,47.8,53
S00131171,85,4,2,-,4,-,2,-,5,1,18,17,7,16,6,3,-,48.3,52
S00131172,138,2,2,1,10,3,6,4,9,8,11,42,18,20,1,1,-,43.8,50
S00131173,112,6,4,2,12,-,2,1,5,9,21,18,11,14,7,-,-,40.4,40
S00131174,100,4,1,-,4,-,3,3,7,7,13,28,12,10,6,1,1,45.2,48
S00131175,100,6,2,1,4,3,3,5,6,6,22,17,3,19,3,-,-,40.0,40
S00131176,86,4,2,-,5,1,2,-,3,8,16,21,2,16,4,1,1,44.5,47
S00131177,108,5,3,2,7,1,7,1,6,5,16,27,9,5,13,-,1,42.5,45
S00131178,97,5,4,2,7,-,3,-,5,10,19,19,7,11,5,-,-,39.5,38
S00131179,125,6,6,1,9,1,5,4,7,10,25,28,5,5,11,1,1,39.2,36
S00131180,94,6,3,1,5,1,1,2,7,3,20,18,4,9,12,1,1,43.3,43
S00131181,107,10,4,6,5,1,4,2,2,9,25,19,9,7,4,-,-,36.1,36
S00131182,107,4,1,1,4,2,2,4,11,4,24,29,6,9,3,3,-,41.5,41
S00131183,157,6,4,3,6,1,4,1,11,19,30,36,14,12,8,2,-,41.0,39
S00131184,126,7,3,2,8,4,8,6,10,5,26,21,13,11,-,2,-,37.0,34
S00131185,117,-,2,1,6,1,4,1,9,3,23,39,8,16,1,3,-,45.8,52
S00131186,112,4,-,4,10,-,4,6,5,2,22,34,7,8,4,2,-,40.8,44
S00131187,112,3,1,3,5,2,3,1,5,11,15,33,11,12,6,-,1,44.3,48
S00131188,98,3,4,1,8,2,4,4,10,2,23,24,4,4,4,-,1,37.0,38
S00131189,129,13,3,5,6,1,4,1,10,14,24,22,6,15,5,-,-,36.3,32
S00131190,173,3,4,5,6,2,3,8,10,13,31,37,12,30,8,1,-,43.8,45
S00131191,140,12,4,5,4,1,2,-,8,9,24,27,8,19,13,1,3,43.4,45
S00131192,134,12,8,3,6,-,5,1,7,10,34,22,3,13,6,3,1,37.7,37
S00131193,115,2,-,2,3,-,3,2,3,6,18,22,6,10,11,13,14,57.6,58
S00131194,73,2,1,-,-,-,1,-,11,5,7,9,5,8,15,6,3,54.9,60
S00131195,101,2,2,1,2,1,2,2,11,9,8,21,5,19,13,2,1,48.8,51
S00131196,120,7,2,1,5,2,1,7,18,6,22,29,5,10,2,1,2,37.9,38
S00131197,143,9,3,5,13,1,5,2,6,10,35,30,7,9,7,1,-,37.1,39
S00131198,92,5,5,2,6,2,2,2,9,11,16,16,4,7,4,1,-,35.4,30
S00131199,67,6,-,-,2,-,3,4,9,8,9,17,3,2,4,-,-,35.9,31
S00131200,115,6,-,2,8,2,7,2,12,6,19,29,8,6,7,1,-,39.7,39
S00131201,189,21,11,8,12,1,5,5,10,12,36,34,9,17,5,3,-,34.4,31
S00131202,83,4,3,2,5,3,1,3,4,7,18,23,5,2,3,-,-,36.6,36
S00131203,120,6,3,1,7,2,4,1,3,7,23,22,8,18,8,5,2,45.6,46
S00131204,133,4,5,3,11,-,6,3,8,7,30,36,5,4,8,2,1,39.5,40
S00131205,140,16,4,4,10,1,4,2,4,13,34,31,6,5,6,-,-,34.6,35
S00131206,144,4,5,1,10,-,5,1,6,6,16,36,22,22,6,3,1,46.6,52
S00131207,95,2,2,1,3,-,2,4,-,2,11,13,15,23,16,-,1,54.6,61
S00131208,104,4,4,2,7,-,7,4,4,6,25,13,4,12,10,1,1,41.0,40
S00131209,89,5,2,4,8,-,2,1,3,3,19,19,15,5,2,-,1,40.2,41
S00131210,81,4,3,4,4,2,1,1,8,3,15,17,5,10,4,-,-,40.0,43
S00131211,126,3,2,2,3,1,2,4,8,7,19,32,19,18,6,-,-,46.4,50
S00131212,106,4,2,3,5,1,2,7,4,4,16,32,11,12,3,-,-,42.2,46
S00131213,122,3,2,2,5,3,-,1,3,4,12,23,20,31,12,1,-,52.5,60
S00131214,87,3,2,1,4,1,1,3,5,6,13,25,8,11,1,2,1,43.8,50
S00131215,136,3,1,4,10,5,5,8,6,5,21,30,12,24,2,-,-,41.7,45
S00131216,147,4,5,3,14,3,5,6,10,7,22,41,11,13,2,-,1,38.0,40
S00131217,90,5,5,1,2,1,2,-,6,1,21,18,6,5,15,1,1,45.3,47
S00131218,126,3,1,1,11,1,9,2,12,11,16,26,11,15,6,1,-,41.0,42
S00131219,131,10,5,2,1,-,4,3,12,16,23,35,8,6,3,3,-,37.7,37
S00131220,89,5,4,2,4,1,4,2,2,5,20,18,7,5,6,3,1,41.8,43
S00131221,162,6,7,3,9,2,2,2,5,7,30,40,20,13,14,2,-,44.3,46
S00131222,74,4,2,3,3,1,-,5,5,5,17,15,4,7,2,1,-,38.1,40
S00131223,173,13,11,4,10,7,4,8,13,21,30,33,7,10,2,-,-,31.4,28
S00131224,176,3,5,1,12,2,3,3,8,4,31,32,22,29,15,6,-,49.0,53
S00131225,113,8,3,2,5,2,2,-,9,9,14,31,2,7,14,2,3,43.3,46
S00131226,86,3,4,3,7,1,3,2,4,4,15,20,6,6,7,1,-,40.4,43
S00131227,137,5,2,2,7,-,1,2,11,6,19,34,16,18,10,3,1,47.2,53
S00131228,188,4,6,2,14,2,3,2,8,12,29,41,26,29,9,1,-,45.1,50
S00131229,80,3,3,-,6,2,1,1,5,13,12,20,1,7,4,-,2,39.5,36
S00131230,125,5,2,2,10,-,4,4,9,1,22,44,9,10,3,-,-,40.8,46
S00131231,61,-,2,1,2,1,-,2,3,2,6,20,9,10,3,-,-,49.3,56
S00131232,80,2,-,-,6,-,3,4,3,3,17,23,2,6,11,-,-,44.7,47
S00131233,63,3,-,1,-,1,-,1,5,13,19,9,4,3,2,1,1,39.0,35
S00131234,122,4,1,1,4,1,3,3,10,2,13,27,15,14,21,3,-,50.0,50
S00131235,167,8,6,7,6,3,12,4,9,8,32,30,11,23,8,-,-,39.1,39
S00131236,109,3,2,2,8,-,3,4,5,11,15,15,21,13,7,-,-,43.3,46
S00131237,77,5,1,1,-,-,2,4,2,4,14,20,5,16,3,-,-,45.7,52
S00131238,145,6,4,1,11,2,3,7,12,15,24,27,10,17,5,1,-,38.5,36
S00131239,116,7,4,1,6,1,5,2,3,7,21,25,9,9,16,-,-,44.0,49
S00131240,87,2,2,2,2,1,1,-,4,4,22,14,5,24,3,-,1,46.9,48
S00131241,115,4,-,-,5,2,2,3,11,10,21,25,6,7,16,2,1,45.0,44
S00131242,112,5,1,-,2,1,-,2,11,5,13,21,6,11,18,6,10,54.0,55
S00131243,96,1,1,1,2,1,2,2,7,7,12,26,8,18,6,1,1,49.1,53
S00131244,129,11,3,2,2,2,3,5,6,10,26,46,8,4,1,-,-,37.7,40
S00131245,57,4,1,-,4,-,2,-,2,6,11,18,3,3,1,1,1,40.5,43
S00131246,128,6,4,2,6,2,6,4,6,5,24,29,18,11,3,1,1,41.5,44
S00131247,149,4,1,3,12,4,5,2,8,12,31,33,18,10,4,1,1,41.0,43
S00131248,125,7,4,2,7,-,1,2,6,13,27,26,15,11,3,1,-,40.1,43
S00131249,128,2,2,1,7,1,3,3,6,5,15,29,6,20,23,3,2,51.4,51
S00131250,151,11,4,5,17,-,6,4,11,2,31,45,3,5,5,2,-,35.3,40
S00131251,57,4,1,1,3,-,1,1,1,2,8,20,2,8,3,2,-,45.5,48
S00131252,113,7,4,2,4,2,4,2,8,7,24,31,1,9,7,1,-,38.8,40
S00131253,58,3,2,-,-,1,1,1,8,9,7,9,4,7,5,1,-,42.2,37
S00131254,58,6,-,-,1,-,-,1,5,2,10,11,3,5,11,2,1,49.3,53
S00131255,65,2,-,1,1,-,2,1,5,5,10,16,3,7,8,2,2,48.2,48
S00131256,104,3,1,1,5,1,3,2,2,5,9,31,8,20,9,4,-,50.4,54
S00131257,91,5,1,2,2,1,-,1,6,3,10,22,11,13,12,2,-,49.6,54
S00131258,122,6,7,3,10,1,2,2,2,5,24,29,9,14,7,1,-,41.5,44
S00131259,115,4,2,2,5,-,4,4,9,8,13,24,6,9,19,2,4,47.5,50
S00131260,85,4,5,-,3,1,2,3,3,8,22,18,1,6,8,1,-,40.5,42
S00131261,113,1,4,-,6,-,7,4,8,5,16,29,7,17,6,2,1,44.4,48
S00131262,105,12,1,1,3,-,-,2,10,12,22,23,8,6,2,3,-,38.3,38
S00131263,100,5,3,1,5,-,2,2,1,6,17,25,8,8,14,1,2,48.2,52
S00131264,117,8,1,4,7,-,8,3,6,6,21,27,2,9,12,2,1,40.6,40
S00131265,110,9,2,2,10,-,1,1,6,5,21,18,2,12,14,6,1,44.2,43
S00131266,106,13,5,3,3,2,1,3,8,9,15,25,8,3,5,-,3,36.6,32
S00131267,122,6,5,5,8,1,4,3,5,4,22,33,4,12,6,3,1,41.0,44
S00131268,81,4,1,-,6,1,2,3,1,1,9,21,3,13,11,4,1,50.3,51
S00131269,73,6,2,2,2,-,1,2,9,8,12,15,3,3,4,4,-,38.6,39
S00131270,119,3,5,-,11,2,3,2,8,7,23,21,1,8,20,4,1,44.1,43
S00131271,115,7,5,4,5,2,6,5,8,14,13,31,6,-,4,3,2,36.5,31
S00131272,161,8,5,3,8,1,9,8,8,15,30,43,9,6,8,-,-,37.4,41
S00131273,114,6,5,4,8,1,4,3,7,5,21,29,5,6,9,-,1,38.9,41
S00131274,87,6,3,-,7,-,4,3,4,4,18,22,8,1,4,3,-,38.9,41
S00131275,126,8,2,2,10,-,4,3,13,6,28,23,7,9,10,-,1,39.0,40
S00131276,177,12,8,6,18,7,10,8,5,11,33,33,7,7,11,1,-,33.7,31
S00131277,121,8,6,2,6,-,-,-,10,11,32,18,4,12,8,4,-,39.9,36
S00131278,117,5,5,1,8,-,5,6,2,6,22,33,3,10,6,3,2,41.2,43
S00131279,130,12,4,2,11,3,3,3,5,6,27,20,5,11,15,2,1,40.1,40
S00131280,105,2,4,2,8,2,1,3,7,6,12,20,18,17,3,-,-,44.0,50
S00131281,158,5,7,3,10,2,4,3,10,4,29,31,14,20,16,-,-,43.3,46
S00131282,103,5,3,2,11,3,4,6,9,2,16,24,4,9,5,-,-,36.4,38
S00131283,114,5,4,2,6,1,2,2,11,9,28,19,1,18,5,1,-,39.5,39
S00131284,131,7,8,-,6,-,2,5,8,5,26,27,4,23,9,1,-,42.6,44
S00131285,84,3,3,3,7,1,2,-,6,12,19,9,9,4,4,1,1,37.3,34
S00131286,67,1,1,4,5,-,4,-,3,1,10,18,7,9,4,-,-,44.5,48
S00131287,101,7,4,1,5,2,4,5,7,5,19,29,5,6,2,-,-,36.5,39
S00131288,197,2,5,3,12,1,11,8,17,8,22,64,18,20,5,1,-,42.2,48
S00131289,85,10,3,2,4,-,1,1,9,10,24,3,1,3,9,4,1,36.3,30
S00131290,66,2,2,3,3,-,1,3,3,3,20,18,5,2,1,-,-,37.1,38
S00131291,133,2,2,1,8,3,3,4,6,5,15,43,8,22,9,1,1,47.5,51
S00131292,122,6,5,1,1,3,2,4,9,6,12,35,9,24,4,1,-,45.2,53
S00131293,68,2,2,1,1,-,-,1,4,10,22,14,3,5,3,-,-,39.2,35
S00131294,143,9,2,2,11,1,4,5,10,3,30,29,12,19,5,1,-,40.5,43
S00131295,97,8,4,1,5,-,3,3,8,3,15,14,14,9,9,-,1,41.5,44
S00131296,116,5,4,7,9,5,2,5,8,2,27,28,3,4,3,4,-,35.6,37
S00131297,157,4,5,6,12,1,9,4,5,13,33,34,7,11,10,3,-,39.5,40
S00131298,125,4,2,2,4,1,4,2,6,5,15,28,10,19,20,2,1,50.2,55
S00131299,107,2,-,2,4,-,5,6,2,4,20,28,5,16,11,1,1,47.6,48
S00131300,79,2,-,-,-,-,-,1,6,4,5,10,7,20,21,1,2,60.2,66
S00131301,139,3,1,3,5,4,2,4,6,6,28,27,7,28,10,4,1,47.9,47
