,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00089101,75,8,3,-,3,-,-,2,6,9,21,18,3,2,-,-,-,33.2,34
S00089102,86,10,5,3,6,-,2,1,7,13,18,16,-,2,2,1,-,29.6,28
S00089103,89,4,-,2,1,1,1,2,6,12,32,15,6,3,2,2,-,37.6,35
S00089104,67,-,-,-,1,1,1,-,7,6,20,22,6,1,2,-,-,41.9,42
S00089105,96,-,-,1,3,-,1,1,14,12,30,21,4,4,3,2,-,40.7,40
S00089106,89,2,2,-,2,-,3,2,3,11,24,24,8,4,2,2,-,42.2,42
S00089107,82,6,2,2,3,1,-,1,7,9,16,18,2,12,3,-,-,38.9,38
S00089108,92,6,2,1,7,1,5,-,2,5,29,22,3,5,4,-,-,37.1,36
S00089109,60,4,4,-,1,-,1,-,2,13,13,15,-,3,4,-,-,37.6,36
S00089110,109,2,2,3,1,-,4,7,9,8,23,24,6,18,1,1,-,41.5,41
S00089111,147,5,9,1,10,3,3,3,11,17,32,32,10,7,4,-,-,36.3,34
S00089112,151,11,3,-,7,1,-,3,16,17,37,23,11,11,11,-,-,38.5,35
S00089113,64,1,-,-,-,-,-,-,1,-,-,-,8,27,19,6,2,72.5,73
S00089114,117,12,11,2,8,1,1,3,12,10,24,13,5,11,3,1,-,32.5,29
S00089115,154,9,3,5,9,-,3,3,16,11,34,30,9,15,7,-,-,38.4,38
S00089116,206,22,15,10,27,-,10,4,15,12,58,30,-,1,2,-,-,25.9,25
S00089117,125,12,7,4,6,1,2,3,7,16,35,22,5,2,3,-,-,31.3,32
S00089118,145,4,3,2,9,-,3,3,17,2,24,36,9,25,7,1,-,44.7,50
S00089119,87,1,2,3,2,-,1,1,3,1,12,20,15,19,7,-,-,52.2,59
S00089120,77,1,2,1,2,1,1,3,8,1,12,25,3,10,7,-,-,45.7,47
S00089121,173,8,1,-,3,-,1,2,8,17,23,27,11,20,25,14,13,54.9,57
S00089122,65,6,3,1,5,-,1,2,1,5,12,18,3,3,5,-,-,38.4,41
S00089123,151,7,5,5,13,5,6,7,10,6,19,38,12,14,3,1,-,37.3,40
S00089124,105,11,4,6,3,-,3,4,5,9,16,24,4,8,8,-,-,36.7,35
S00089125,164,9,6,3,9,3,3,9,12,11,25,42,9,11,10,2,-,39.1,42
S00089126,116,14,2,4,7,3,2,6,13,10,11,29,1,10,4,-,-,33.5,27
S00089127,93,5,3,-,4,2,1,5,2,6,14,25,12,8,6,-,-,43.6,48
S00089128,97,2,3,2,11,2,6,4,5,2,23,19,12,3,2,1,-,36.9,41
S00089129,197,11,3,4,9,7,9,7,12,9,50,59,9,5,2,1,-,36.1,39
S00089130,93,6,3,1,2,1,2,2,4,8,21,23,-,10,9,1,-,41.9,41
S00089131,102,6,3,1,5,2,2,5,12,8,18,19,5,10,4,2,-,37.9,35
S00089132,87,2,2,3,3,1,-,3,4,5,23,25,9,4,3,-,-,41.9,43
S00089133,87,4,1,4,5,2,1,1,3,2,14,19,10,10,6,4,1,46.3,53
S00089134,129,1,2,3,4,1,6,2,3,6,19,36,9,19,13,5,-,50.0,54
S00089135,144,8,2,1,5,-,-,-,2,8,22,32,21,23,17,3,-,50.9,55
S00089136,112,3,4,-,4,-,3,4,2,6,20,24,13,17,6,6,-,48.3,52
S00089137,109,5,1,3,2,-,-,1,7,5,24,18,14,22,5,2,-,47.4,50
S00089138,55,-,-,-,-,-,-,-,-,-,-,-,1,11,32,6,5,80.1,80
S00089139,86,5,2,2,5,1,4,2,8,5,12,21,6,6,5,2,-,39.4,43
S00089140,100,7,3,1,3,-,2,1,10,11,20,22,2,9,7,1,1,40.3,39
S00089141,120,4,6,1,2,3,5,5,9,5,23,38,3,12,4,-,-,39.8,44
S00089142,137,4,1,-,8,2,10,5,13,10,22,34,13,8,6,-,1,39.9,42
S00089143,105,4,3,3,6,-,2,1,7,3,28,24,4,8,10,2,-,42.5,43
