,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00089153,45,1,-,1,4,9,2,8,9,10,1,1,-,1
S00089154,56,3,1,2,13,9,1,7,9,8,5,5,-,1
S00089155,66,3,-,3,13,12,3,7,9,14,1,1,-,4
S00089156,100,6,1,5,9,12,1,15,20,16,17,13,4,4
S00089157,80,5,1,4,10,12,4,3,19,21,2,2,-,4
S00089158,98,2,-,2,16,17,3,9,22,18,4,3,1,7
S00089159,63,9,1,8,13,11,3,7,7,7,1,1,-,5
S00089160,79,3,1,2,12,10,6,7,15,13,7,4,3,6
S00089161,77,1,-,1,16,6,2,13,17,16,1,1,-,5
S00089162,56,-,-,-,13,7,2,5,11,11,5,2,3,2
S00089163,84,4,-,4,11,13,3,7,18,17,4,1,3,7
S00089164,53,1,1,-,5,8,2,12,9,11,2,2,-,3
S00089165,73,3,-,3,14,11,3,9,17,11,1,1,-,4
S00089166,98,8,4,4,10,18,5,8,15,21,5,4,1,8
S00089167,85,4,1,3,14,10,5,11,21,14,2,2,-,4
S00089168,13,-,-,-,1,4,-,1,5,1,1,-,1,-
S00089169,85,5,1,4,14,6,3,7,24,15,4,2,2,7
S00089170,58,4,-,4,10,5,2,9,9,18,-,-,-,1
S00089171,52,1,-,1,2,8,3,6,19,8,3,1,2,2
S00089172,45,2,-,2,9,4,5,3,10,10,2,1,1,-
S00089173,105,7,1,6,14,14,3,14,19,21,6,3,3,7
S00089174,117,9,-,9,14,22,1,18,19,24,6,3,3,4
S00089175,96,3,-,3,13,8,3,8,19,28,4,1,3,10
S00089176,83,10,4,6,14,12,1,9,13,17,2,1,1,5
S00089177,92,-,-,-,9,21,7,14,17,19,3,2,1,2
S00089178,101,5,-,5,16,17,6,13,16,23,1,-,1,4
S00089179,125,4,-,4,20,18,6,16,27,24,5,1,4,5
S00089180,111,3,1,2,13,22,9,11,20,22,6,4,2,5
S00089181,71,3,-,3,13,13,1,13,13,12,-,-,-,3
S00089182,90,7,-,7,12,18,2,14,15,13,2,2,-,7
S00089183,77,3,-,3,10,11,5,13,10,15,1,1,-,9
S00089184,96,30,7,23,20,5,10,5,6,2,-,-,-,18
S00089185,100,31,6,25,24,9,10,6,2,4,5,3,2,9
S00089186,85,27,3,24,17,9,8,3,10,4,-,-,-,7
S00089187,55,18,1,17,16,2,4,1,5,-,8,5,3,1
S00089188,117,33,5,28,33,15,7,4,11,5,-,-,-,9
S00089189,112,33,9,24,35,12,5,4,14,2,1,1,-,6
S00089190,97,32,3,29,29,9,8,4,5,-,2,2,-,8
S00089191,117,33,5,28,35,16,9,7,4,1,3,3,-,9
S00089192,96,34,6,28,29,5,6,7,5,2,1,1,-,7
S00089193,120,31,7,24,41,13,7,7,8,-,3,2,1,10
S00089194,103,21,3,18,34,12,5,4,8,4,4,2,2,11
