,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00121104,53,4,2,2,5,7,7,10,12,4,-,-,-,4
S00121105,88,1,-,1,7,6,11,5,29,14,7,3,4,8
S00121106,98,2,-,2,19,15,5,20,15,11,4,4,-,7
S00121107,67,3,2,1,17,11,9,7,12,4,2,1,1,2
S00121108,113,11,2,9,22,12,9,11,11,23,2,1,1,12
S00121109,64,4,2,2,11,11,14,5,12,4,1,-,1,2
S00121110,78,5,1,4,12,4,15,7,17,12,4,3,1,2
S00121111,83,6,-,6,18,12,8,2,18,12,2,1,1,5
S00121112,105,8,2,6,20,7,25,5,19,14,3,1,2,4
S00121113,116,9,2,7,19,6,24,10,30,7,1,1,-,10
S00121114,109,9,5,4,13,4,16,16,27,12,1,1,-,11
S00121115,117,14,6,8,21,15,27,16,17,4,1,1,-,2
S00121116,142,3,-,3,16,15,17,15,32,33,4,2,2,7
S00121117,105,6,2,4,13,7,14,13,21,27,2,1,1,2
S00121118,89,5,2,3,22,5,23,6,16,9,1,1,-,2
S00121119,100,5,1,4,20,13,21,6,15,5,3,-,3,12
S00121120,76,2,1,1,13,11,21,8,10,6,-,-,-,5
S00121121,92,7,2,5,20,11,24,4,13,5,1,1,-,7
S00121122,70,7,1,6,9,6,15,5,11,9,2,1,1,6
S00121123,120,4,1,3,13,18,29,15,18,15,2,2,-,6
S00121124,102,10,3,7,26,9,16,8,14,12,2,1,1,5
S00121125,102,7,3,4,20,7,9,18,23,11,1,-,1,6
S00121126,64,9,2,7,16,5,6,9,12,5,2,1,1,-
S00121127,133,9,2,7,28,18,23,10,23,17,2,-,2,3
S00121128,77,6,1,5,15,13,10,7,10,12,2,1,1,2
S00121129,65,3,1,2,12,3,12,8,10,13,1,1,-,3
S00121130,87,5,2,3,20,9,13,5,15,14,4,3,1,2
S00121131,114,8,2,6,21,13,25,6,17,11,6,3,3,7
S00121132,73,3,1,2,32,14,5,4,7,3,1,1,-,4
S00121133,87,9,2,7,29,9,2,8,10,8,4,1,3,8
S00121134,137,4,2,2,49,12,14,8,24,19,4,1,3,3
S00121135,135,28,11,17,45,10,10,11,15,9,1,1,-,6
S00121136,79,10,2,8,27,11,7,7,9,5,-,-,-,3
S00121137,67,10,-,10,13,13,5,6,8,7,3,2,1,2
S00121138,71,2,-,2,15,10,5,13,13,3,3,-,3,7
S00121139,121,18,5,13,26,12,23,9,17,8,2,1,1,6
S00121140,105,10,3,7,22,12,17,13,12,8,2,1,1,9
S00121141,73,4,3,1,24,10,2,9,12,7,-,-,-,5
S00121142,132,13,6,7,36,18,3,13,19,16,3,2,1,11
S00121143,64,3,1,2,10,9,9,9,10,7,4,2,2,3
S00121144,67,3,2,1,11,5,4,7,12,16,7,5,2,2
S00121145,104,13,7,6,28,13,14,9,13,5,2,-,2,7
S00121146,118,10,4,6,23,16,20,10,17,14,1,-,1,7
S00121147,91,7,2,5,24,8,18,10,14,6,-,-,-,4
S00121148,64,3,2,1,18,9,9,7,7,4,2,1,1,5
S00121149,144,35,5,30,38,9,18,10,17,13,-,-,-,4
S00121150,46,7,3,4,13,2,8,3,5,3,2,1,1,3
S00121151,74,9,4,5,21,7,15,9,8,2,2,-,2,1
S00121152,73,7,2,5,17,7,11,7,9,7,-,-,-,8
S00121153,79,8,2,6,29,7,2,11,7,6,2,2,-,7
S00121154,86,5,1,4,21,11,15,6,11,10,2,2,-,5
S00121155,122,9,4,5,33,10,18,14,16,15,1,1,-,6
S00121156,141,13,4,9,33,17,21,16,18,12,6,3,3,5
S00121157,130,7,2,5,35,12,7,14,27,22,1,-,1,5
S00121158,77,8,5,3,17,7,15,11,9,4,1,1,-,5
S00121159,133,10,3,7,31,14,7,9,34,17,-,-,-,11
S00121160,124,8,2,6,39,17,9,20,17,5,3,2,1,6
S00121161,131,5,4,1,37,20,7,18,20,13,3,1,2,8
S00121162,59,6,3,3,18,5,8,5,7,2,1,1,-,7
S00121163,74,-,-,-,11,8,6,4,15,19,3,2,1,8
S00121164,81,4,-,4,10,14,2,8,20,15,5,2,3,3
S00121165,134,7,3,4,30,22,9,18,26,9,6,4,2,7
S00121166,107,9,2,7,20,15,4,19,18,18,1,-,1,3
S00121167,90,7,1,6,22,13,4,10,16,11,1,1,-,6
S00121168,55,1,-,1,8,5,2,4,3,14,11,8,3,7
S00121169,47,-,-,-,2,6,2,6,7,14,7,4,3,3
S00121170,116,2,-,2,28,19,3,14,19,17,3,2,1,11
S00121171,127,2,-,2,32,9,5,15,22,22,6,2,4,14
S00121172,112,4,1,3,15,6,4,10,33,24,7,4,3,9
S00121173,47,5,-,5,16,5,8,1,6,5,-,-,-,1
S00121174,109,14,6,8,25,11,14,9,16,12,2,2,-,6
S00121175,71,-,-,-,13,4,16,11,12,6,4,2,2,5
S00121176,56,8,4,4,18,10,2,7,6,4,-,-,-,1
S00121177,98,6,2,4,23,17,17,8,14,5,3,1,2,5
S00121178,66,4,1,3,15,8,13,5,10,7,2,2,-,2
S00121179,54,7,1,6,8,5,10,5,9,7,1,1,-,2
S00121180,64,9,2,7,15,13,5,3,8,6,1,1,-,4
S00121181,101,5,3,2,20,12,15,10,22,13,1,-,1,3
S00121182,92,12,3,9,23,8,11,11,11,11,3,1,2,2
S00121183,115,12,5,7,33,13,16,10,15,5,1,-,1,10
S00121184,83,12,3,9,20,12,13,6,10,7,1,1,-,2
S00121185,58,3,-,3,14,8,8,6,7,5,3,-,3,4
S00121186,81,7,5,2,18,9,11,5,14,13,-,-,-,4
S00121187,108,8,5,3,24,20,5,12,16,12,2,1,1,9
S00121188,100,11,1,10,35,10,9,7,14,4,2,1,1,8
S00121189,126,16,5,11,44,16,10,11,15,4,-,-,-,10
S00121190,92,12,3,9,28,10,6,15,10,7,1,1,-,3
S00121191,69,7,2,5,9,4,17,8,15,8,1,1,-,-
S00121192,84,7,3,4,20,11,15,6,10,9,2,1,1,4
S00121193,118,5,3,2,22,17,15,12,25,20,1,-,1,1
S00121194,107,6,1,5,16,9,8,12,31,15,-,-,-,10
S00121195,88,8,2,6,22,10,17,9,8,8,4,3,1,2
S00121196,89,4,1,3,23,6,14,9,20,6,2,1,1,5
S00121197,93,6,2,4,21,8,9,9,19,13,6,5,1,2
S00121198,58,3,2,1,10,4,13,6,12,9,1,1,-,-
S00121199,50,2,1,1,10,6,7,8,10,3,1,1,-,3
S00121200,110,6,2,4,17,6,13,16,29,16,2,1,1,5
S00121201,100,7,-,7,17,12,17,12,19,10,3,-,3,3
S00121202,65,-,-,-,15,5,12,13,10,6,2,1,1,2
S00121203,65,9,4,5,13,7,17,5,13,-,-,-,-,1
S00121204,71,10,4,6,14,13,8,4,12,5,-,-,-,5
S00121205,97,5,1,4,19,13,23,9,11,12,5,2,3,-
S00121206,80,4,-,4,15,5,19,3,15,7,5,1,4,7
S00121207,72,3,-,3,17,8,16,8,8,7,2,-,2,3
S00121208,83,6,2,4,18,8,14,12,12,5,4,4,-,4
S00121209,64,8,7,1,11,5,5,5,12,11,3,2,1,4
S00121210,139,9,4,5,20,16,27,14,25,19,3,2,1,6
S00121211,105,5,4,1,17,9,17,14,22,14,3,1,2,4
S00121212,47,4,-,4,12,2,16,3,4,3,1,-,1,2
S00121213,47,1,-,1,10,3,14,3,8,4,2,2,-,2
S00121214,86,14,5,9,29,10,4,15,6,5,2,2,-,1
S00121215,82,16,2,14,22,9,14,5,5,4,3,2,1,4
S00121216,340,16,14,2,124,152,5,6,15,7,6,3,3,9
S00121217,113,10,2,8,24,14,9,17,13,15,4,3,1,7
S00121218,84,2,2,-,13,10,26,4,16,6,1,-,1,6
S00121219,115,13,3,10,39,13,15,7,17,4,1,1,-,6
S00121220,56,7,4,3,13,8,13,3,6,3,-,-,-,3
S00121221,61,4,1,3,17,6,14,5,11,2,-,-,-,2
S00121222,85,17,4,13,25,8,9,3,9,3,4,4,-,7
S00121223,69,12,4,8,17,11,11,3,9,2,2,1,1,2
S00121224,84,7,2,5,17,7,10,15,9,12,5,5,-,2
S00121225,67,3,-,3,17,5,19,5,9,7,-,-,-,2
S00121226,135,16,7,9,34,10,27,13,13,14,2,2,-,6
S00121227,123,8,3,5,36,12,23,6,23,8,-,-,-,7
S00121228,105,13,5,8,27,12,14,9,13,6,3,2,1,8
S00121229,74,5,2,3,28,4,8,8,11,4,2,-,2,4
S00121230,105,13,5,8,20,8,19,15,13,12,1,1,-,4
S00121231,79,4,1,3,7,10,5,6,19,21,2,1,1,5
S00121232,60,1,-,1,6,6,2,10,15,15,3,2,1,2
S00121233,122,4,1,3,19,17,14,15,25,18,3,1,2,7
S00121234,67,6,3,3,12,7,8,8,16,8,-,-,-,2
S00121235,84,2,-,2,14,9,14,11,15,14,1,-,1,4
S00121236,108,1,-,1,18,7,9,13,36,21,-,-,-,3
S00121237,103,5,3,2,14,10,9,10,21,27,3,-,3,4
S00121238,71,5,-,5,2,11,3,13,25,12,-,-,-,-
S00121239,71,2,-,2,9,5,11,5,19,16,2,-,2,2
S00121240,61,1,1,-,9,4,8,7,11,14,4,3,1,3
S00121241,100,4,2,2,22,6,13,16,15,16,2,2,-,6
S00121242,47,4,1,3,5,4,2,4,14,14,-,-,-,-
S00121243,74,4,3,1,12,8,3,12,16,15,1,1,-,3
S00121244,78,8,2,6,17,7,4,10,15,12,-,-,-,5
S00121245,94,7,4,3,19,4,12,12,19,13,3,2,1,5
S00121246,66,5,1,4,11,8,5,9,8,18,2,2,-,-
S00121247,102,7,4,3,16,5,13,19,17,17,5,1,4,3
S00121248,50,3,-,3,5,7,8,5,7,9,3,2,1,3
S00121249,100,4,2,2,11,14,8,14,23,18,4,3,1,4
S00121250,83,2,1,1,11,7,2,20,17,18,2,2,-,4
S00121251,77,3,1,2,11,5,1,11,11,21,7,2,5,7
S00121252,84,-,-,-,12,11,4,9,23,14,4,2,2,7
S00121253,113,3,-,3,17,11,6,18,32,18,-,-,-,8
S00121254,86,3,-,3,16,4,8,13,22,18,-,-,-,2
S00121255,92,4,2,2,11,11,7,14,13,23,4,1,3,5
S00121256,87,7,1,6,11,10,9,10,23,14,2,2,-,1
S00121257,89,2,1,1,7,8,7,11,22,26,6,3,3,-
S00121258,105,-,-,-,11,9,8,14,32,28,-,-,-,3
S00121259,99,4,3,1,11,14,12,11,23,21,2,-,2,1
S00121260,110,7,1,6,10,12,11,7,27,31,3,1,2,2
S00121261,109,9,-,9,11,7,9,17,28,11,6,2,4,11
S00121262,69,4,1,3,14,6,10,9,8,8,4,2,2,6
S00121263,134,5,3,2,15,15,15,17,26,29,6,4,2,6
S00121264,78,6,1,5,13,7,6,7,17,12,5,4,1,5
S00121265,105,5,1,4,16,16,6,15,22,22,1,1,-,2
S00121266,96,5,-,5,20,12,11,8,16,19,-,-,-,5
S00121267,88,9,1,8,9,10,14,7,16,14,6,2,4,3
S00121268,59,2,-,2,8,6,8,6,10,16,2,-,2,1
S00121269,62,-,-,-,12,4,7,3,16,16,-,-,-,4
S00121270,94,-,-,-,12,10,5,12,24,25,5,5,-,1
S00121271,84,-,-,-,14,6,5,8,25,18,3,2,1,5
S00121272,70,2,1,1,8,8,6,6,16,14,4,1,3,6
S00121273,117,6,2,4,10,12,13,15,26,25,3,2,1,7
S00121274,126,4,1,3,14,14,15,17,22,29,5,4,1,6
S00121275,86,2,-,2,10,12,4,20,18,14,4,2,2,2
S00121276,53,4,1,3,6,4,1,5,12,12,2,2,-,7
S00121277,91,6,3,3,15,10,9,12,19,14,2,2,-,4
S00121278,49,1,-,1,7,5,6,8,9,11,-,-,-,2
S00121279,54,2,-,2,4,3,4,7,12,16,4,1,3,2
S00121280,76,2,1,1,8,7,7,11,18,15,5,1,4,3
S00121281,59,1,1,-,5,8,4,5,16,18,1,-,1,1
S00121282,108,-,-,-,9,4,7,15,31,32,6,4,2,4
S00121283,134,1,1,-,12,9,5,20,35,39,5,4,1,8
S00121284,82,1,1,-,15,10,3,4,14,19,7,4,3,9
S00121285,115,1,-,1,10,12,5,20,32,19,4,1,3,12
S00121286,89,1,-,1,16,8,5,14,19,21,-,-,-,5
S00121287,90,-,-,-,10,6,8,11,21,21,6,2,4,7
S00121288,109,4,1,3,18,15,7,11,33,13,4,3,1,4
S00121289,128,11,2,9,28,20,6,5,33,9,12,8,4,4
S00121290,66,1,-,1,10,10,3,6,17,12,1,-,1,6
S00121291,64,1,-,1,8,9,7,7,12,11,6,1,5,3
S00121292,82,4,2,2,19,9,5,6,21,8,2,1,1,8
S00121293,112,3,-,3,17,6,5,20,28,20,6,4,2,7
S00121294,108,5,3,2,20,21,6,14,20,13,4,1,3,5
S00121295,101,3,1,2,18,20,8,6,23,19,2,1,1,2
S00121296,37,1,-,1,7,6,5,2,6,7,2,2,-,1
S00121297,64,3,-,3,11,5,6,12,17,6,1,1,-,3
S00121298,58,1,-,1,11,5,2,3,21,13,1,-,1,1
S00121299,85,-,-,-,7,12,2,10,22,23,5,1,4,4
S00121300,66,3,-,3,14,12,-,11,11,12,3,2,1,-
S00121301,55,2,-,2,3,12,3,6,9,15,1,1,-,4
S00121302,53,2,2,-,7,8,3,8,13,11,1,1,-,-
S00121303,69,2,-,2,10,10,4,10,14,16,3,1,2,-
S00121304,82,12,-,12,21,14,4,11,9,5,1,1,-,5
S00121305,75,11,2,9,18,10,10,2,16,8,-,-,-,-
S00121306,50,1,-,1,6,6,5,1,17,10,2,1,1,2
S00121307,70,4,3,1,16,11,6,8,9,13,1,1,-,2
S00121308,36,1,-,1,3,5,1,3,13,5,4,3,1,1
S00121309,79,1,-,1,22,7,11,6,11,14,4,4,-,3
S00121310,37,3,1,2,3,2,3,3,6,9,7,3,4,1
S00121311,65,2,1,1,10,9,4,5,16,13,2,1,1,4
S00121312,50,1,-,1,6,9,5,8,7,13,1,-,1,-
S00121313,45,4,-,4,17,4,3,2,11,3,1,1,-,-
S00121314,95,5,1,4,10,12,8,13,20,10,12,6,6,5
S00121315,45,2,-,2,9,7,4,-,11,7,5,1,4,-
S00121316,68,4,1,3,15,4,7,5,15,9,9,2,7,-
S00121317,96,26,9,17,24,10,10,8,12,4,-,-,-,2
S00121318,81,8,1,7,21,15,5,16,11,2,1,1,-,2
S00121319,121,15,6,9,46,14,10,4,17,9,5,5,-,1
S00121320,133,6,-,6,30,21,8,21,22,16,1,-,1,8
S00121321,104,12,4,8,21,17,11,8,12,8,4,3,1,11
S00121322,93,3,1,2,18,5,3,10,23,16,8,1,7,7
S00121323,107,6,2,4,21,20,11,7,24,10,2,-,2,6
S00121324,138,7,-,7,44,21,8,9,27,13,2,2,-,7
S00121325,88,-,-,-,14,7,1,14,17,12,6,4,2,17
S00121326,105,-,-,-,9,11,5,14,30,28,3,1,2,5
S00121327,126,2,2,-,13,16,11,18,35,24,2,2,-,5
S00121328,90,2,-,2,13,16,1,17,20,12,4,4,-,5
S00121329,65,-,-,-,13,9,3,6,23,9,1,1,-,1
S00121330,89,3,2,1,8,12,2,12,21,22,5,3,2,4
S00121331,82,1,1,-,9,8,4,5,17,19,14,7,7,5
S00121332,75,-,-,-,10,4,4,14,22,14,2,1,1,5
S00121333,65,1,-,1,10,3,6,10,13,10,9,8,1,3
S00121334,83,3,1,2,25,13,6,5,18,5,1,-,1,7
S00121335,83,4,-,4,20,10,8,7,13,13,1,1,-,7
S00121336,74,6,1,5,8,4,5,3,22,20,4,1,3,2
S00121337,94,4,1,3,28,15,8,7,15,11,-,-,-,6
S00121338,134,15,5,10,34,15,10,10,18,19,3,3,-,10
S00121339,46,2,1,1,15,6,4,4,7,5,3,2,1,-
S00121340,96,6,1,5,29,12,6,7,18,9,5,3,2,4
S00121341,57,8,2,6,12,9,6,3,6,9,-,-,-,4
S00121342,71,2,1,1,17,14,3,8,12,11,1,-,1,3
S00121343,123,8,4,4,30,17,10,15,22,12,2,2,-,7
S00121344,82,3,-,3,6,5,4,16,23,17,6,6,-,2
S00121345,103,3,1,2,21,9,7,13,21,22,4,3,1,3
S00121346,81,4,3,1,13,8,8,14,17,14,1,1,-,2
S00121347,81,3,-,3,18,7,8,14,15,14,2,1,1,-
S00121348,37,1,1,-,7,8,1,5,9,6,-,-,-,-
S00121349,66,3,2,1,7,4,2,9,20,14,3,2,1,4
S00121350,51,1,1,-,12,6,3,6,8,5,9,1,8,1
S00121351,50,3,2,1,22,11,4,-,4,2,1,-,1,3
S00121352,45,-,-,-,17,11,3,2,5,4,1,-,1,2
S00121353,100,8,2,6,35,16,4,6,9,7,2,1,1,13
S00121354,85,8,6,2,36,11,4,3,13,6,2,1,1,2
S00121355,58,25,20,5,11,3,3,1,7,4,3,1,2,1
S00121356,43,4,-,4,13,-,1,9,7,5,2,-,2,2
S00121357,45,1,-,1,22,6,3,5,4,4,-,-,-,-
S00121358,80,15,5,10,26,15,5,6,5,1,-,-,-,7
S00121359,83,12,1,11,19,11,5,8,12,11,1,-,1,4
S00121360,65,7,-,7,25,11,3,2,7,6,-,-,-,4
S00121361,100,18,6,12,31,15,9,5,10,2,1,1,-,9
S00121362,103,9,2,7,28,18,12,6,15,10,1,1,-,4
S00121363,78,11,3,8,26,9,7,5,8,3,4,4,-,5
S00121364,66,7,2,5,14,9,6,3,9,13,2,2,-,3
S00121365,37,4,1,3,5,4,-,4,6,12,2,2,-,-
S00121366,47,2,-,2,12,11,6,4,5,5,1,1,-,1
S00121367,84,14,2,12,24,9,13,4,6,2,2,1,1,10
S00121368,101,15,5,10,32,14,6,4,11,9,4,4,-,6
S00121369,69,1,-,1,14,9,5,14,15,8,-,-,-,3
S00121370,56,3,-,3,11,4,-,6,14,13,2,2,-,3
S00121371,123,11,2,9,14,17,7,11,28,24,2,1,1,9
S00121372,49,3,-,3,10,5,4,5,10,9,2,1,1,1
S00121373,84,6,-,6,18,8,5,8,16,11,7,5,2,5
S00121374,49,5,1,4,11,5,5,6,8,3,3,3,-,3
S00121375,75,15,2,13,17,11,8,6,8,4,2,2,-,4
S00121376,84,10,1,9,11,7,16,3,12,17,3,1,2,5
S00121377,100,8,1,7,25,12,5,15,16,9,-,-,-,10
S00121378,82,14,3,11,29,7,4,8,8,5,-,-,-,7
S00121379,92,10,1,9,28,11,7,6,9,10,4,4,-,7
S00121380,85,10,3,7,29,9,9,6,7,6,5,5,-,4
S00121381,136,17,2,15,45,11,17,7,18,9,1,1,-,11
S00121382,63,2,1,1,5,4,2,6,19,14,10,6,4,1
S00121383,63,4,1,3,19,1,2,7,13,8,2,2,-,7
S00121384,43,4,3,1,8,1,2,3,10,10,5,3,2,-
S00121385,41,-,-,-,5,2,4,6,11,13,-,-,-,-
S00121386,84,1,1,-,13,10,5,10,20,19,1,1,-,5
S00121387,66,1,-,1,12,2,4,7,18,8,7,3,4,7
S00121388,50,1,-,1,7,2,3,8,12,10,6,5,1,1
S00121389,79,11,3,8,24,10,10,7,7,3,4,4,-,3
S00121390,55,1,-,1,9,5,7,9,11,10,3,2,1,-
S00121391,106,4,1,3,10,5,8,12,24,25,8,5,3,10
S00121392,66,4,2,2,12,5,4,7,17,16,-,-,-,1
S00121393,96,15,4,11,36,14,8,4,11,3,-,-,-,5
S00121394,90,14,2,12,29,14,7,5,13,6,-,-,-,2
S00121395,69,8,2,6,19,8,6,6,10,5,2,2,-,5
S00121396,67,8,3,5,21,11,7,6,10,2,2,1,1,-
S00121397,63,3,1,2,20,7,4,5,10,6,1,1,-,7
S00121398,123,13,3,10,33,18,15,10,14,11,6,6,-,3
S00121399,92,2,-,2,36,21,4,3,15,3,2,1,1,6
S00121400,91,6,2,4,8,9,5,14,18,22,1,1,-,8
S00121401,75,4,-,4,18,12,-,8,9,14,2,1,1,8
S00121402,87,5,1,4,30,14,2,7,14,12,2,2,-,1
S00121403,128,4,-,4,21,17,2,11,34,24,10,6,4,5
S00121404,73,1,-,1,15,6,9,6,16,12,3,2,1,5
S00121405,77,1,1,-,9,10,5,6,13,22,6,3,3,5
S00121406,79,4,2,2,19,12,2,3,20,12,5,2,3,2
S00121407,56,1,-,1,18,8,7,6,8,7,1,-,1,-
S00121408,71,10,1,9,18,5,5,4,14,7,2,2,-,6
S00121409,68,2,1,1,17,10,5,6,14,12,-,-,-,2
S00121410,53,3,-,3,16,3,1,6,15,4,1,1,-,4
S00121411,80,2,1,1,17,10,5,13,13,15,2,2,-,3
S00121412,74,3,1,2,19,11,4,9,11,12,2,1,1,3
S00121413,78,4,1,3,8,8,6,10,17,16,1,1,-,8
S00121414,69,-,-,-,5,6,1,12,24,14,4,2,2,3
S00121415,105,1,1,-,16,10,5,10,25,28,1,-,1,9
S00121416,91,3,-,3,12,12,1,9,21,27,3,2,1,3
S00121417,115,5,2,3,17,10,3,8,23,25,15,12,3,9
S00121418,69,2,-,2,8,7,3,7,20,16,5,2,3,1
S00121419,55,2,2,-,12,8,2,11,10,9,-,-,-,1
S00121420,71,-,-,-,9,8,8,9,8,25,2,2,-,2
S00121421,93,1,1,-,12,7,6,12,23,25,4,2,2,3
S00121422,73,3,2,1,11,8,8,11,10,17,4,4,-,1
S00121423,147,11,6,5,36,20,8,11,18,24,2,2,-,17
S00121424,93,5,1,4,24,13,4,8,18,9,4,1,3,8
S00121425,58,-,-,-,12,9,5,8,8,14,1,-,1,1
S00121426,73,2,1,1,11,8,5,8,18,15,4,4,-,2
S00121427,122,4,1,3,12,8,4,13,33,36,6,4,2,6
S00121428,68,3,2,1,3,12,2,12,17,16,-,-,-,3
S00121429,109,1,1,-,7,3,5,16,21,38,6,3,3,12
S00121430,71,2,2,-,8,9,2,14,15,13,6,4,2,2
S00121431,89,-,-,-,6,11,5,13,25,20,6,6,-,3
S00121432,82,2,-,2,9,2,2,13,21,26,4,4,-,3
S00121433,79,-,-,-,16,6,3,10,23,17,2,-,2,2
S00121434,113,2,1,1,13,9,4,15,31,29,6,4,2,4
S00121435,108,2,-,2,14,4,1,10,30,35,10,6,4,2
S00121436,54,8,2,6,17,10,6,1,4,3,1,-,1,4
S00121437,68,6,2,4,22,9,7,6,4,2,6,5,1,6
S00121438,66,9,4,5,21,12,1,4,10,5,2,2,-,2
S00121439,138,4,-,4,28,19,7,17,34,16,3,1,2,10
S00121440,95,3,2,1,9,9,8,14,22,18,8,6,2,4
S00121441,103,4,1,3,19,11,9,12,21,11,6,4,2,10
S00121442,84,-,-,-,11,9,3,15,18,19,5,4,1,4
S00121443,121,2,-,2,17,15,9,21,20,30,1,1,-,6
S00121444,76,2,1,1,13,8,5,6,13,21,2,1,1,6
S00121445,74,3,1,2,9,4,4,9,13,23,4,2,2,5
S00121446,95,2,1,1,7,11,8,18,27,12,6,4,2,4
S00121447,84,-,-,-,12,5,6,10,21,22,5,2,3,3
S00121448,117,4,-,4,21,17,7,14,22,20,2,-,2,10
S00121449,98,2,1,1,19,15,6,10,20,21,1,1,-,4
S00121450,74,1,-,1,10,9,3,3,21,18,3,3,-,6
S00121451,52,-,-,-,8,5,3,9,14,11,1,-,1,1
S00121452,55,3,-,3,4,7,3,4,15,15,3,3,-,1
S00121453,61,1,-,1,10,9,6,8,16,8,2,2,-,1
S00121454,65,2,-,2,9,5,2,10,15,16,3,2,1,3
S00121455,96,8,1,7,18,13,5,15,22,7,2,2,-,6
S00121456,53,1,-,1,9,5,8,5,11,11,1,1,-,2
S00121457,116,9,1,8,15,15,11,15,24,22,2,-,2,3
S00121458,81,3,1,2,17,13,4,10,15,14,4,3,1,1
S00121459,89,1,1,-,13,13,10,7,21,18,4,3,1,2
S00121460,75,-,-,-,10,7,3,6,23,18,5,5,-,3
S00121461,94,1,1,-,7,10,5,12,24,15,14,14,-,6
S00121462,88,3,1,2,15,16,2,10,19,11,4,2,2,8
S00121463,111,2,1,1,18,15,5,15,25,21,6,6,-,4
S00121464,117,5,2,3,16,17,5,15,21,26,3,3,-,9
S00121465,60,1,-,1,2,2,2,8,18,17,6,2,4,4
S00121466,77,1,-,1,14,5,-,3,22,22,3,3,-,7
S00121467,98,3,1,2,9,8,4,12,29,25,5,5,-,3
S00121468,68,-,-,-,7,2,5,12,18,17,4,2,2,3
S00121469,92,5,1,4,13,6,8,11,19,24,3,3,-,3
S00121470,57,2,-,2,11,14,3,4,13,7,1,1,-,2
S00121471,125,6,2,4,27,22,3,23,22,18,1,-,1,3
S00121472,84,2,1,1,14,14,8,8,15,15,2,1,1,6
S00121473,113,2,1,1,27,10,5,15,26,22,2,2,-,4
S00121474,113,4,-,4,19,16,9,10,24,20,4,2,2,7
S00121475,47,2,1,1,16,4,10,4,6,4,1,1,-,-
S00121476,113,5,2,3,19,11,11,14,24,10,6,6,-,13
S00121477,75,10,1,9,23,9,12,5,7,2,-,-,-,7
S00121478,56,1,-,1,15,6,4,9,11,5,2,1,1,3
S00121479,86,1,-,1,16,9,5,11,25,13,1,1,-,5
S00121480,94,3,-,3,17,21,8,7,19,8,1,1,-,10
S00121481,58,2,-,2,13,12,6,4,9,10,-,-,-,2
S00121482,187,11,4,7,51,28,7,17,38,23,3,3,-,9
S00121483,92,-,-,-,16,5,6,15,18,24,3,-,3,5
S00121484,99,6,-,6,16,9,5,13,23,21,3,1,2,3
S00121485,72,2,-,2,7,9,7,6,18,18,3,2,1,2
S00121486,114,1,1,-,6,9,4,12,31,32,11,7,4,8
S00121487,106,2,1,1,9,14,7,9,26,28,5,3,2,6
S00121488,133,6,2,4,15,15,8,15,28,35,5,2,3,6
S00121489,110,21,6,15,33,12,15,8,12,6,-,-,-,3
S00121490,70,10,1,9,17,16,6,3,6,6,5,3,2,1
S00121491,51,4,-,4,21,3,8,4,6,1,2,2,-,2
S00121492,91,11,5,6,27,10,9,12,11,5,2,2,-,4
S00121493,59,8,3,5,9,5,6,7,9,10,1,-,1,4
S00121494,70,9,2,7,19,11,12,3,9,2,2,2,-,3
S00121495,117,19,5,14,31,8,13,17,4,16,3,2,1,6
S00121496,67,12,1,11,22,5,13,3,5,1,2,1,1,4
S00121497,79,8,1,7,16,5,8,9,15,11,4,1,3,3
S00121498,102,5,4,1,20,10,8,14,27,14,2,2,-,2
S00121499,77,3,1,2,17,10,3,15,12,12,3,2,1,2
S00121500,71,7,2,5,18,8,6,9,14,5,1,1,-,3
S00121501,109,1,-,1,29,12,15,17,18,12,4,1,3,1
S00121502,54,2,1,1,4,2,5,6,20,10,1,-,1,4
S00121503,78,3,-,3,14,8,2,10,18,18,4,4,-,1
S00121504,113,1,-,1,14,14,3,17,28,19,4,3,1,13
S00121505,101,5,1,4,16,9,5,17,26,13,2,2,-,8
S00121506,96,2,1,1,6,5,4,13,34,27,2,2,-,3
S00121507,86,2,-,2,4,7,8,13,21,14,11,6,5,6
S00121508,102,5,2,3,11,9,7,14,27,23,4,1,3,2
S00121509,100,-,-,-,13,10,11,21,25,15,-,-,-,5
S00121510,67,3,2,1,4,9,1,14,17,14,1,1,-,4
S00121511,67,1,-,1,9,6,5,14,15,15,-,-,-,2
S00121512,67,2,1,1,16,10,2,5,15,11,2,1,1,4
S00121513,62,2,1,1,8,5,4,8,15,13,6,4,2,1
S00121514,76,4,2,2,7,8,8,12,12,4,18,18,-,3
S00121515,105,3,1,2,14,16,11,16,20,17,-,-,-,8
S00121516,99,5,-,5,14,12,10,12,14,17,8,5,3,7
S00121517,51,3,1,2,8,5,6,5,9,11,1,1,-,3
S00121518,95,5,2,3,18,7,9,8,20,16,4,2,2,8
S00121519,68,1,-,1,14,6,6,9,18,12,2,1,1,-
