UKParliamentaryConstituency2005Code,All people,16 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 and over,Scotland,RUK,managerial_and_professional,Economically active: Unemployed,scaled_predicted_yes,scaled_predicted_no,constituency_name,yes_perc,no_perc
S14000045,83187.0,0.05005589815716398,0.05729260581581257,0.05357808311394809,0.19753086419753085,0.2172094197410653,0.06963828482815825,0.16712947936576628,0.884681500715256,0.07487948838159808,0.27230901789923756,0.04389458795987709,26370.0,33972.0,Midlothian,0.4370090484239833,0.5629909515760168
S14000046,93295.0,0.049777587223323864,0.053711345731282494,0.057087732461546706,0.19115708237311754,0.2125623023741894,0.06841738571198885,0.18459724529717564,0.753866766707755,0.1936330993086446,0.26338254641134334,0.03924864785850022,27232.0,36935.0,Moray,0.42439260055791916,0.5756073994420808
S14000047,91999.0,0.049478798682594374,0.0641746105935934,0.06844639615647996,0.2107522907857694,0.20570875770388808,0.056489744453744065,0.15643648300525007,0.9271187730301417,0.036685181360666966,0.23978969938172792,0.06599797335996357,23505.671961484328,19504.612954323682,Motherwell and Wishaw,0.5465128168180315,0.4534871831819685
S14000048,95515.0,0.048589226823012095,0.05558289273936031,0.05077736481180967,0.18108150552269278,0.21767261686646078,0.07426058734230226,0.19792702716850757,0.895272993770612,0.07813432445165681,0.25701239399869535,0.06701834992484189,25244.73973621634,29060.42243040627,North Ayrshire and Arran,0.46486814013663735,0.5351318598633625
S14000049,80606.0,0.06397786765253206,0.10189067811329182,0.048904548048532365,0.16255613726025359,0.20344639356871697,0.07126020395504057,0.20276406222861823,0.7242512964295462,0.1729647917028509,0.3204604165985416,0.03091789019325725,18728.60360866628,33194.65769881909,North East Fife,0.3606977515868466,0.6393022484131534
S14000050,100504.0,0.052097428958051424,0.04826673565231235,0.0483861338852185,0.19047998089628274,0.22488657167873916,0.07189763591498846,0.18148531401735254,0.8225841757541988,0.127994905675396,0.3129050949320182,0.04321461777903545,36741.92669276815,52205.78841313167,Ochil and South Perthshire,0.4130733054696657,0.5869266945303344
S14000051,44516.0,0.04809506694222302,0.05454218707880313,0.05168928025878336,0.1904034504447839,0.22270644262736994,0.07105310450175217,0.1796208104951029,0.7939841854614071,0.1629301824063258,0.268391710095746,0.022330626590716277,10552.0,19955.0,Orkney and Shetland,0.3458878290228472,0.6541121709771528
S14000052,88516.0,0.05009263861900674,0.05918703963125311,0.05727778028830946,0.19546748610420714,0.22329296398391252,0.06516336029644358,0.1679583352162321,0.9148741470468615,0.047031045234759816,0.30208728077488595,0.04429218899213291,31321.12933961514,35300.10788016807,Paisley and Renfrewshire North,0.4701373112643773,0.5298626887356226
S14000053,86392.0,0.04944902305769053,0.06689276784887489,0.06515649597184925,0.20191684415223632,0.2172770626909899,0.06080424113343828,0.16913603111399203,0.9073988332252987,0.044645337531252896,0.27222581738621304,0.05836491941696712,24144.87066038486,26766.89211983194,Paisley and Renfrewshire South,0.47424935499909715,0.5257506450009028
S14000054,97590.0,0.04297571472486935,0.056563172456194286,0.06283430679372887,0.18661748129931346,0.21380264371349522,0.07138026437134952,0.20017419817604262,0.7995286402295317,0.12451070806435086,0.31168002662746513,0.035766787784650374,21083.07330723185,29544.21158686833,Perth and North Perthshire,0.4164369736858781,0.5835630263141219
S14000055,67967.0,0.04222637456412671,0.04441861491606221,0.045801639030706075,0.17473185516500656,0.24139656009534038,0.07993585122191652,0.19515353038974798,0.7488045669221828,0.1988317860138008,0.29400857342239056,0.03594855946565646,25565.059066366008,32303.554806123077,"Ross, Skye and Lochaber",0.4417776296266138,0.5582223703733862
S14000056,102968.0,0.04798578199052133,0.056201926812213504,0.06414614249087094,0.2200780825110714,0.2168926268355217,0.0608247222438039,0.15161020899696992,0.9235879108072411,0.038293450392354905,0.26805776415984695,0.05660060246415597,28495.57969670399,31263.411839979184,Rutherglen and Hamilton West,0.4768417097402309,0.5231582902597692
S14000057,90247.0,0.059869026117211656,0.08016886987933117,0.05365275300009972,0.1835628885170698,0.2087714827085665,0.0644010327213093,0.1721165246490188,0.7977439693286204,0.13129522310990946,0.3331945270672219,0.038607971445568115,25010.0,37153.0,Stirling,0.40232935990862734,0.5976706400913727
S14000058,91710.0,0.04821720641151456,0.04777014502235307,0.04805364736669938,0.20465598080907207,0.2342165521753353,0.0689892051030422,0.15497764693054192,0.7855740922473012,0.15204448806018972,0.3825398232703845,0.020687413186748233,28397.58621722274,46016.66965597947,West Aberdeenshire and Kincardine,0.38161486510878584,0.618385134891214
S14000059,90720.0,0.05167548500881834,0.06430776014109348,0.06330467372134038,0.19398148148148148,0.22342372134038802,0.06252204585537918,0.1644179894179894,0.922608024691358,0.045987654320987656,0.22849438599593316,0.06389060796275013,33720.0,28776.0,West Dunbartonshire,0.5395545314900153,0.46044546850998463
