,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S00089314,125,15,0,76,0,4,5,2,23
S00089315,108,14,0,87,1,0,0,0,6
S00089316,106,11,1,78,0,1,1,0,14
S00089317,94,5,0,82,0,2,0,0,5
S00089318,107,9,1,81,0,1,0,2,13
S00089319,134,10,0,122,0,0,1,0,1
S00089320,125,14,1,106,0,1,1,0,2
S00089321,85,7,1,69,0,0,0,0,8
S00089322,124,8,1,111,0,0,0,0,4
S00089323,83,2,1,78,0,1,0,0,1
S00089324,94,5,0,83,0,1,1,0,4
S00089325,102,11,1,77,0,1,0,0,12
S00089326,130,7,0,111,0,0,0,0,12
S00089327,108,7,0,101,0,0,0,0,0
S00089328,111,7,0,97,1,1,0,1,4
S00089329,95,8,1,78,0,0,2,2,4
S00089330,151,14,0,113,1,0,4,0,19
S00089331,168,16,0,138,0,1,3,3,7
S00089332,172,14,4,149,1,0,1,0,3
S00089333,176,15,0,152,1,0,2,1,5
S00089334,150,7,0,129,2,2,0,0,10
S00089335,144,6,0,129,0,0,1,4,4
S00089336,93,8,0,75,0,0,2,0,8
S00089337,57,1,0,49,1,0,0,3,3
S00089338,156,8,0,138,0,0,0,0,10
S00089339,150,21,0,125,0,1,0,0,3
S00089340,125,9,0,101,0,0,4,4,7
S00089341,77,5,0,63,1,0,3,0,5
S00089342,75,9,0,62,0,0,1,0,3
S00089343,71,5,0,45,0,0,1,5,15
S00089344,70,4,0,58,3,1,1,2,1
S00089345,98,14,2,64,0,1,1,7,9
S00089346,145,18,0,119,0,0,2,1,5
S00089347,108,5,3,97,0,0,0,0,3
S00089348,92,1,0,85,3,0,0,0,3
S00089349,97,6,0,87,0,0,3,0,1
S00089350,123,16,0,101,0,0,2,0,4
S00089351,175,19,1,117,1,0,4,2,31
S00089352,158,8,1,136,0,0,6,0,7
S00089353,111,14,0,94,1,0,1,0,1
S00089354,89,5,0,79,1,0,0,0,4
S00089355,165,13,0,144,0,0,3,0,5
S00089356,61,7,0,47,0,0,0,0,7
S00089357,118,6,0,100,1,0,0,1,10
S00089358,85,5,0,76,2,0,0,0,2
S00089359,129,9,0,111,0,0,0,0,9
S00089360,113,8,1,86,0,2,1,3,12
S00089361,151,10,1,134,1,0,1,0,4
S00089362,134,10,1,103,1,0,1,1,17
S00089363,60,10,0,40,1,1,0,2,6
S00089364,96,5,0,55,0,6,0,9,21
S00089365,132,12,1,68,0,7,2,7,35
S00089366,105,7,2,63,0,0,5,7,21
S00089367,102,4,1,83,1,0,4,0,9
S00089368,58,4,0,41,0,1,2,0,10
S00089369,120,8,0,69,0,0,3,3,37
S00089370,107,8,0,88,1,1,1,6,2
S00089371,123,12,0,93,1,3,1,0,13
S00089372,63,4,0,50,0,1,0,3,5
S00089373,97,10,0,64,0,2,5,4,12
S00089374,97,12,1,77,0,0,1,1,5
S00089375,137,4,1,122,1,1,2,0,6
S00089376,135,10,1,118,1,0,0,0,5
S00089377,82,4,2,68,0,0,1,0,7
S00089378,103,9,0,84,0,0,1,0,9
S00089379,169,11,0,154,0,0,0,0,4
S00089380,156,14,0,130,2,1,3,0,6
S00089381,108,14,1,82,1,2,0,0,8
S00089382,126,2,0,112,2,0,5,2,3
S00089383,108,20,0,78,1,0,1,0,8
S00089384,106,10,2,83,0,0,4,1,6
S00089385,189,7,1,161,1,2,3,0,14
